date,portfolio_value,cash,positions,total_pnl
2024-01-02,100000.0,100000.0,0,0.0
2024-01-03,100000.0,100000.0,0,0.0
2024-01-04,100000.0,100000.0,0,0.0
2024-01-05,100000.0,94599.33,1,0.0
2024-01-08,100000.0,84453.45,3,0.0
2024-01-09,100407.0,90261.12,2,407.0
2024-01-10,100407.0,90261.12,2,407.0
2024-01-11,100407.0,90261.12,2,407.0
2024-01-12,100407.0,90261.12,2,407.0
2024-01-16,100407.0,90261.12,2,407.0
2024-01-17,100407.0,90261.12,2,407.0
2024-01-18,100407.0,90261.12,2,407.0
2024-01-19,100407.0,90261.12,2,407.0
2024-01-22,100962.6,100962.6,0,962.6
2024-01-23,100962.6,100962.6,0,962.6
2024-01-24,100962.6,100962.6,0,962.6
2024-01-25,100962.6,100962.6,0,962.6
2024-01-26,100962.6,100962.6,0,962.6
2024-01-29,100962.6,95425.63,1,962.6
2024-01-30,100962.6,95425.63,1,962.6
2024-01-31,100857.04,100857.04,0,857.04
2024-02-01,100857.04,100857.04,0,857.04
2024-02-02,100857.04,100857.04,0,857.04
2024-02-05,100857.04,100857.04,0,857.04
2024-02-06,100857.04,100857.04,0,857.04
2024-02-07,100857.04,100857.04,0,857.04
2024-02-08,100857.04,100857.04,0,857.04
2024-02-09,100857.04,100857.04,0,857.04
2024-02-12,100857.04,100857.04,0,857.04
2024-02-13,100857.04,100857.04,0,857.04
2024-02-14,100857.04,95573.16,1,857.04
2024-02-15,100857.04,95573.16,1,857.04
2024-02-16,100857.04,95573.16,1,857.04
2024-02-20,100998.44,100998.44,0,998.44
2024-02-21,100998.44,100998.44,0,998.44
2024-02-22,100998.44,94823.69,1,998.44
2024-02-23,100998.44,94823.69,1,998.44
2024-02-26,100998.44,88841.69,2,998.44
2024-02-27,100998.44,88841.69,2,998.44
2024-02-28,100998.44,88841.69,2,998.44
2024-02-29,100998.44,88841.69,2,998.44
2024-03-01,100998.44,88841.69,2,998.44
2024-03-04,100660.64,94485.89,1,660.64
2024-03-05,100525.64,100525.64,0,525.64
2024-03-06,100525.64,100525.64,0,525.64
2024-03-07,100525.64,97031.76,1,525.64
2024-03-08,100525.64,97031.76,1,525.64
2024-03-11,100525.64,97031.76,1,525.64
2024-03-12,100525.64,89141.44,2,525.64
2024-03-13,100525.64,89141.44,2,525.64
2024-03-14,100525.64,89141.44,2,525.64
2024-03-15,100724.1,100724.1,0,724.1
2024-03-18,100724.1,86840.18,2,724.1
2024-03-19,100639.78,92665.06,1,639.78
2024-03-20,100639.78,87570.92,2,639.78
2024-03-21,100557.42,92582.7,1,557.42
2024-03-22,100557.42,92582.7,1,557.42
2024-03-25,100557.42,92582.7,1,557.42
