date,portfolio_value,cash,positions,total_pnl
2024-01-02,100000.0,100037.71,4,0.0
2024-01-03,100000.0,104329.81,5,0.0
2024-01-04,100000.0,108811.48,6,0.0
2024-01-05,99980.4,114185.28,5,-19.6
2024-01-08,99754.77,97588.55,6,-245.23
2024-01-09,99569.39,92921.5,5,-430.61
2024-01-10,99569.39,92921.5,5,-430.61
2024-01-11,99569.39,92921.5,5,-430.61
2024-01-12,99569.39,98658.11,6,-430.61
2024-01-16,100145.77,106549.91,5,145.77
2024-01-17,100145.77,106549.91,5,145.77
2024-01-18,100624.39,99351.26,5,624.39
2024-01-19,100480.15,94751.66,4,480.15
2024-01-22,100757.59,99749.66,3,757.59
2024-01-23,100754.23,103105.67,2,754.23
2024-01-24,100754.23,103105.67,2,754.23
2024-01-25,101057.17,112560.83,3,1057.17
2024-01-26,101057.17,112560.83,3,1057.17
2024-01-29,101276.5,116165.33,2,1276.5
2024-01-30,101276.5,116165.33,2,1276.5
2024-01-31,101276.5,126563.01,4,1276.5
2024-02-01,101276.5,119076.85,5,1276.5
2024-02-02,101576.31,122489.44,3,1576.31
2024-02-05,101576.31,129380.59,4,1576.31
2024-02-06,101576.31,129380.59,4,1576.31
2024-02-07,101201.16,118292.04,4,1201.16
2024-02-08,101201.16,118292.04,4,1201.16
2024-02-09,100914.35,111980.93,3,914.35
2024-02-12,100914.35,111980.93,3,914.35
2024-02-13,100852.51,115231.49,2,852.51
2024-02-14,100852.51,115231.49,2,852.51
2024-02-15,100852.51,115231.49,2,852.51
2024-02-16,100067.36,106958.51,1,67.36
2024-02-20,100067.36,115582.11,3,67.36
2024-02-21,100067.36,115582.11,3,67.36
2024-02-22,99343.88,94496.06,3,-656.12
2024-02-23,99343.88,94496.06,3,-656.12
2024-02-26,99343.88,100411.57,4,-656.12
2024-02-27,99343.88,102978.67,5,-656.12
2024-02-28,99476.63,107520.24,5,-523.37
2024-02-29,99476.63,107520.24,5,-523.37
2024-03-01,99476.63,107520.24,5,-523.37
2024-03-04,99476.63,113473.64,6,-523.37
2024-03-05,99357.13,122658.44,4,-642.87
2024-03-06,99357.13,122658.44,4,-642.87
2024-03-07,99357.13,122658.44,4,-642.87
2024-03-08,99357.13,127034.84,5,-642.87
2024-03-11,99357.13,128969.2,6,-642.87
2024-03-12,99357.13,123155.28,7,-642.87
2024-03-13,99923.16,124010.27,7,-76.84
2024-03-14,99923.16,124010.27,7,-76.84
2024-03-15,99939.12,129840.15,6,-60.88
