date,portfolio_value,cash,positions,total_pnl
2025-01-02,100000.0,100000.0,0,0.0
2025-01-03,100000.0,100000.0,0,0.0
2025-01-06,100000.0,100000.0,0,0.0
2025-01-07,100000.0,100000.0,0,0.0
2025-01-08,104414.59,89211.09,3,0.0
2025-01-10,106324.65,98821.09,2,1685.47
2025-01-13,106560.29,98821.09,2,1685.47
2025-01-14,106867.57,98821.09,2,1685.47
2025-01-15,112541.23,81869.02,6,1685.47
2025-01-16,113265.7,81869.02,6,1685.47
2025-01-17,113745.05,81869.02,6,1685.47
2025-01-21,114663.62,81869.02,6,1685.47
2025-01-22,115047.15,50341.0,10,1685.47
2025-01-23,115535.66,50341.0,10,1685.47
2025-01-24,114789.35,50341.0,10,1685.47
2025-01-27,107337.22,57341.0,9,159.97
2025-01-28,102968.11,52177.91,8,-86.06
2025-01-29,103225.13,57633.91,7,-1411.62
2025-01-30,104904.7,57633.91,7,-1411.62
2025-01-31,104372.78,57633.91,7,-1411.62
2025-02-03,98601.83,52719.55,6,-1014.5
2025-02-04,99145.89,52719.55,6,-1014.5
2025-02-05,99974.76,52719.55,6,-1014.5
2025-02-06,100300.71,52719.55,6,-1014.5
2025-02-07,99503.85,37388.94,8,-1578.56
2025-02-10,99731.2,37388.94,8,-1578.56
2025-02-11,99645.46,37388.94,8,-1578.56
2025-02-12,99456.08,37388.94,8,-1578.56
2025-02-13,99717.48,24590.86,10,-1578.56
2025-02-14,99489.66,24590.86,10,-1578.56
2025-02-18,100272.39,24590.86,10,-1578.56
2025-02-19,99785.64,24590.86,10,-1578.56
2025-02-20,98058.16,23868.8,10,-2217.56
2025-02-21,95886.64,23868.8,10,-2217.56
2025-02-24,94211.02,23868.8,10,-2217.56
2025-02-25,93534.33,36602.8,8,-5310.91
2025-02-26,97488.55,46822.95,8,-5924.91
2025-02-27,92842.33,42752.95,7,-6382.51
2025-02-28,93758.67,42752.95,7,-6382.51
2025-03-03,92792.34,48117.95,6,-7533.81
2025-03-04,91913.7,51188.73,6,-8404.69
2025-03-05,92482.68,51188.73,6,-8404.69
2025-03-06,91882.22,51188.73,6,-8404.69
2025-03-07,91488.59,51188.73,6,-8404.69
2025-03-10,89643.93,46632.57,7,-8404.69
2025-03-11,89433.79,46632.57,7,-8404.69
2025-03-12,89213.31,46632.57,7,-8404.69
2025-03-13,88584.3,46632.57,7,-8404.69
2025-03-14,98566.93,68853.49,7,-10264.39
2025-03-17,98675.94,68853.49,7,-10264.39
2025-03-18,98721.52,68853.49,7,-10264.39
2025-03-19,98476.25,68853.49,7,-10264.39
2025-03-20,102800.22,60708.67,10,-10264.39
2025-03-21,102538.34,60708.67,10,-10264.39
2025-03-24,102774.56,60708.67,10,-10264.39
2025-03-25,102371.24,60708.67,10,-10264.39
2025-03-26,95959.87,51678.76,9,-11253.93
2025-03-27,95697.84,51678.76,9,-11253.93
2025-03-28,95565.26,58478.76,8,-12276.73
2025-03-31,95127.41,65588.76,7,-13023.46
2025-04-01,101564.99,59557.4,10,-13811.3
2025-04-02,101481.21,59557.4,10,-13811.3
2025-04-03,102451.63,59557.4,10,-13811.3
2025-04-04,101427.08,64782.4,9,-14595.49
2025-04-07,96142.49,67534.09,7,-14039.89
2025-04-08,96226.97,67534.09,7,-14039.89
2025-04-09,96319.09,67534.09,7,-14039.89
2025-04-10,97017.75,75334.09,6,-13048.64
2025-04-11,87336.83,60219.45,5,-12769.09
2025-04-14,87800.63,60219.45,5,-12769.09
2025-04-15,87517.49,60219.45,5,-12769.09
2025-04-16,87136.71,60219.45,5,-12769.09
2025-04-17,95573.82,68446.04,7,-13374.53
2025-04-21,95108.31,68446.04,7,-13374.53
2025-04-22,95898.46,68446.04,7,-13374.53
2025-04-23,95535.16,68446.04,7,-13374.53
2025-04-24,95773.05,68549.7,7,-13392.53
2025-04-25,96136.64,68549.7,7,-13392.53
2025-04-28,96072.3,68549.7,7,-13392.53
2025-04-29,96209.58,68549.7,7,-13392.53
2025-04-30,96464.24,55370.94,9,-13392.53
2025-05-01,95181.71,55370.94,9,-13392.53
2025-05-02,95420.45,55370.94,9,-13392.53
2025-05-05,95619.87,55370.94,9,-13392.53
2025-05-06,89895.68,44748.47,9,-14443.03
2025-05-07,90113.52,44748.47,9,-14443.03
2025-05-08,90145.57,50788.47,8,-15038.39
2025-05-09,90678.86,50788.47,8,-15038.39
2025-05-12,92595.86,34099.75,11,-15038.39
2025-05-13,93862.67,48104.75,9,-12387.69
2025-05-14,94273.47,48104.75,9,-12387.69
2025-05-15,94719.93,48104.75,9,-12387.69
2025-05-16,90563.13,34636.02,9,-12722.18
2025-05-19,90389.81,34636.02,9,-12722.18
2025-05-20,90157.02,34636.02,9,-12722.18
2025-05-21,89234.45,34636.02,9,-12722.18
2025-05-22,93844.75,39813.63,10,-12800.75
2025-05-23,93419.17,39813.63,10,-12800.75
2025-05-27,94800.06,39813.63,10,-12800.75
2025-05-28,94448.36,39813.63,10,-12800.75
2025-05-29,99483.25,37071.42,12,-12800.75
2025-05-30,99177.44,37071.42,12,-12800.75
2025-06-02,94836.36,31696.42,11,-13495.63
2025-06-03,95849.27,31696.42,11,-13495.63
2025-06-04,96148.79,26156.69,12,-12620.53
2025-06-05,95601.72,26156.69,12,-12620.53
2025-06-06,96447.98,26156.69,12,-12620.53
2025-06-09,97474.92,39810.69,10,-9730.35
2025-06-10,97895.76,33422.13,11,-8520.75
2025-06-11,97884.36,33422.13,11,-8520.75
2025-06-12,97866.46,33422.13,11,-8520.75
2025-06-13,97107.08,33422.13,11,-8520.75
2025-06-16,98913.03,30275.88,11,-8762.85
2025-06-17,98443.6,30275.88,11,-8762.85
2025-06-18,98648.96,30275.88,11,-8762.85
2025-06-20,97973.58,30275.88,11,-8762.85
2025-06-23,94246.83,26047.74,10,-8749.27
2025-06-24,96181.74,32487.74,9,-7935.53
2025-06-25,96912.87,39067.74,8,-6622.35
2025-06-26,97839.8,39067.74,8,-6622.35
2025-06-27,98000.38,20038.83,11,-6622.35
2025-06-30,98121.92,27038.83,10,-5781.35
2025-07-01,96614.21,27038.83,10,-5781.35
2025-07-02,97579.43,27038.83,10,-5781.35
2025-07-03,98274.13,27038.83,10,-5781.35
2025-07-07,97764.32,27038.83,10,-5781.35
2025-07-08,97921.84,27038.83,10,-5781.35
2025-07-09,98847.53,27038.83,10,-5781.35
2025-07-10,99158.75,23100.67,11,-5984.39
2025-07-11,99361.77,23100.67,11,-5984.39
2025-07-14,99784.81,23100.67,11,-5984.39
2025-07-15,100880.44,23100.67,11,-5984.39
2025-07-16,101152.37,23100.67,11,-5984.39
2025-07-17,101967.47,31935.67,10,-4571.72
2025-07-18,101755.53,31935.67,10,-4571.72
2025-07-21,101955.32,31935.67,10,-4571.72
2025-07-22,100948.4,20866.23,12,-4571.72
2025-07-23,102302.91,20866.23,12,-4571.72
2025-07-24,103106.62,29836.23,11,-3246.0
2025-07-25,103749.2,29836.23,11,-3246.0
2025-07-28,104033.52,32138.57,11,-1498.02
2025-07-29,104213.9,40363.57,10,-25.98
2025-07-30,104249.47,40363.57,10,-25.98
2025-07-31,104364.7,47383.57,9,747.48
2025-08-01,102002.66,24723.23,12,747.48
2025-08-04,103747.19,24723.23,12,747.48
2025-08-05,103137.73,31653.23,11,2296.44
2025-08-06,103658.06,31653.23,11,2296.44
2025-08-07,104069.5,30658.81,11,1413.84
2025-08-08,104614.06,30658.81,11,1413.84
2025-08-11,104331.15,30658.81,11,1413.84
2025-08-12,105439.52,30658.81,11,1413.84
2025-08-13,108548.77,29590.94,13,1413.84
2025-08-14,109065.22,29590.94,13,1413.84
2025-08-15,107960.65,29590.94,13,1413.84
2025-08-18,108082.48,29590.94,13,1413.84
2025-08-19,105535.66,23745.0,14,1178.49
2025-08-20,104637.37,29015.0,13,344.13
2025-08-21,104532.4,29015.0,13,344.13
2025-08-22,106281.19,29015.0,13,344.13
2025-08-25,102367.07,24545.78,12,44.79
2025-08-26,102819.09,24545.78,12,44.79
2025-08-27,102886.02,24545.78,12,44.79
2025-08-28,103798.26,24545.78,12,44.79
2025-08-29,102350.2,24545.78,12,44.79
2025-09-02,101654.73,24545.78,12,44.79
2025-09-03,102519.12,24545.78,12,44.79
2025-09-04,103906.74,24545.78,12,44.79
2025-09-05,108348.05,62210.42,9,2952.35
2025-09-08,108615.67,62210.42,9,2952.35
2025-09-09,109105.88,62210.42,9,2952.35
2025-09-10,108913.03,62210.42,9,2952.35
2025-09-11,109808.75,54930.14,10,3536.43
2025-09-12,110104.34,54930.14,10,3536.43
2025-09-15,110765.62,54930.14,10,3536.43
2025-09-16,110620.7,54930.14,10,3536.43
2025-09-17,116033.45,42136.27,14,3536.43
2025-09-18,116814.9,48901.27,13,5063.68
2025-09-19,117424.17,48901.27,13,5063.68
2025-09-22,117424.53,48901.27,13,5063.68
2025-09-23,113134.68,38094.44,13,5103.16
2025-09-24,112329.6,38094.44,13,5103.16
2025-09-25,111903.75,43704.44,12,4430.47
2025-09-26,112186.53,43704.44,12,4430.47
2025-09-29,118065.88,48002.28,13,4868.77
2025-09-30,118350.07,48002.28,13,4868.77
2025-10-01,118827.91,48002.28,13,4868.77
2025-10-02,118570.27,48002.28,13,4868.77
2025-10-03,118844.55,47660.68,13,4447.97
2025-10-06,119848.01,55860.68,12,5898.55
2025-10-07,120095.0,55860.68,12,5898.55
2025-10-08,120065.22,55860.68,12,5898.55
2025-10-09,126069.22,54770.24,14,5898.55
2025-10-10,123988.45,54770.24,14,5898.55
2025-10-13,126000.03,54770.24,14,5898.55
2025-10-14,124974.51,60730.24,13,5574.31
2025-10-15,125719.87,53345.66,14,5574.31
2025-10-16,125723.29,53345.66,14,5574.31
2025-10-17,125536.97,53345.66,14,5574.31
2025-10-20,126548.32,53345.66,14,5574.31
2025-10-21,120214.9,39329.29,14,5840.12
2025-10-22,119282.91,39329.29,14,5840.12
2025-10-23,120385.98,39329.29,14,5840.12
2025-10-24,121985.71,39329.29,14,5840.12
2025-10-27,123101.62,39329.29,14,5840.12
2025-10-28,123477.89,39329.29,14,5840.12
2025-10-29,125056.54,39329.29,14,5840.12
2025-10-30,124474.57,46835.29,13,6888.53
2025-10-31,123933.05,39516.81,14,6888.53
2025-11-03,124896.79,47976.81,13,8273.09
2025-11-04,123381.76,47976.81,13,8273.09
2025-11-05,124035.52,47976.81,13,8273.09
2025-11-06,122437.03,47011.55,12,8055.52
2025-11-07,122495.31,47011.55,12,8055.52
2025-11-10,125406.0,47011.55,12,8055.52
2025-11-11,124377.61,47011.55,12,8055.52
2025-11-12,125150.05,37296.65,13,8055.52
2025-11-13,122083.4,37296.65,13,8055.52
2025-11-14,122138.56,37296.65,13,8055.52
2025-11-17,121311.48,37296.65,13,8055.52
2025-11-18,127998.37,52600.12,13,8732.11
2025-11-19,128730.04,52600.12,13,8732.11
