date,portfolio_value,cash,positions,total_pnl
2022-01-03,100000.0,100000.0,0,0.0
2022-01-04,100000.0,100000.0,0,0.0
2022-01-05,100000.0,100000.0,0,0.0
2022-01-06,100000.0,100000.0,0,0.0
2022-01-07,100000.0,100000.0,0,0.0
2022-01-10,116372.68,75066.11,10,0.0
2022-01-11,116635.67,75066.11,10,0.0
2022-01-12,116862.15,75066.11,10,0.0
2022-01-13,117679.68,75066.11,10,0.0
2022-01-14,117405.74,75066.11,10,0.0
2022-01-18,116929.67,69303.11,11,0.0
2022-01-19,116684.16,69303.11,11,0.0
2022-01-20,116313.68,69303.11,11,0.0
2022-01-21,117182.0,69303.11,11,0.0
2022-01-24,117296.94,69303.11,11,0.0
2022-01-25,112463.31,59707.35,12,2683.02
2022-01-26,112847.84,59707.35,12,2683.02
2022-01-27,112820.0,59707.35,12,2683.02
2022-01-28,113067.35,59707.35,12,2683.02
2022-01-31,112676.38,59707.35,12,2683.02
2022-02-01,111701.81,51136.83,13,2364.03
2022-02-02,112418.65,51136.83,13,2364.03
2022-02-03,112010.56,51136.83,13,2364.03
2022-02-04,112086.64,51136.83,13,2364.03
2022-02-07,112166.97,51136.83,13,2364.03
2022-02-08,111748.3,45630.11,14,3411.87
2022-02-09,111861.08,45630.11,14,3411.87
2022-02-10,111074.52,45630.11,14,3411.87
2022-02-11,111103.31,45630.11,14,3411.87
2022-02-14,110524.82,45630.11,14,3411.87
2022-02-15,110417.57,40105.29,15,3411.87
2022-02-16,110258.83,44989.79,14,2339.62
2022-02-17,109974.15,44989.79,14,2339.62
2022-02-18,109957.39,44989.79,14,2339.62
2022-02-22,109532.62,44989.79,14,2339.62
2022-02-23,109574.49,49501.71,13,1980.94
2022-02-24,109111.54,49501.71,13,1980.94
2022-02-25,110183.95,49501.71,13,1980.94
2022-02-28,110287.23,49501.71,13,1980.94
2022-03-01,109574.61,55121.58,12,747.25
2022-03-02,111057.82,42049.86,14,747.25
2022-03-03,111311.32,42049.86,14,747.25
2022-03-04,112043.88,42049.86,14,747.25
2022-03-07,110791.33,47720.98,13,-497.63
2022-03-08,110752.54,53068.96,12,-1671.77
2022-03-09,108747.71,43698.67,14,2419.62
2022-03-10,108849.9,43698.67,14,2419.62
2022-03-11,108635.0,43698.67,14,2419.62
2022-03-14,108728.98,43698.67,14,2419.62
2022-03-15,108372.9,43698.67,14,2419.62
2022-03-16,108946.32,43698.67,14,2419.62
2022-03-17,109995.73,43698.67,14,2419.62
2022-03-18,110170.52,43698.67,14,2419.62
2022-03-21,111053.11,43698.67,14,2419.62
2022-03-22,111069.75,43698.67,14,2419.62
2022-03-23,110630.33,43698.67,14,2419.62
2022-03-24,110766.91,43698.67,14,2419.62
2022-03-25,111977.3,43698.67,14,2419.62
2022-03-28,110927.33,43698.67,14,2419.62
2022-03-29,111199.4,43698.67,14,2419.62
2022-03-30,111285.06,43698.67,14,2419.62
2022-03-31,110190.37,43698.67,14,2419.62
2022-04-01,110755.8,43698.67,14,2419.62
2022-04-04,110380.76,43698.67,14,2419.62
2022-04-05,109992.1,43698.67,14,2419.62
2022-04-06,109169.56,42938.37,13,2463.52
2022-04-07,109698.65,42938.37,13,2463.52
2022-04-08,111054.91,42938.37,13,2463.52
2022-04-11,109422.13,42938.37,13,2463.52
2022-04-12,109314.65,42938.37,13,2463.52
2022-04-13,109630.37,42938.37,13,2463.52
2022-04-14,109937.96,42938.37,13,2463.52
2022-04-18,110432.46,47828.32,12,1390.37
2022-04-19,110412.55,47828.32,12,1390.37
2022-04-20,111395.17,47828.32,12,1390.37
2022-04-21,110419.4,47828.32,12,1390.37
2022-04-22,108695.18,47828.32,12,1390.37
2022-04-25,107657.3,47828.32,12,1390.37
2022-04-26,107051.33,47828.32,12,1390.37
2022-04-27,108279.92,47828.32,12,1390.37
2022-04-28,107843.79,39594.51,12,1573.63
2022-04-29,105869.68,39594.51,12,1573.63
2022-05-02,106444.01,39594.51,12,1573.63
2022-05-03,107410.22,39594.51,12,1573.63
2022-05-04,109532.52,39594.51,12,1573.63
2022-05-05,108240.07,39594.51,12,1573.63
2022-05-06,109030.11,39594.51,12,1573.63
2022-05-09,102290.64,38029.59,11,2599.9
2022-05-10,102390.19,38029.59,11,2599.9
2022-05-11,102698.03,38029.59,11,2599.9
2022-05-12,102218.6,38029.59,11,2599.9
2022-05-13,104326.23,38029.59,11,2599.9
2022-05-16,104926.07,38029.59,11,2599.9
2022-05-17,106074.69,38029.59,11,2599.9
2022-05-18,104390.26,38029.59,11,2599.9
2022-05-19,104233.21,38029.59,11,2599.9
2022-05-20,104152.67,38029.59,11,2599.9
2022-05-23,106006.75,38029.59,11,2599.9
2022-05-24,105515.01,38029.59,11,2599.9
2022-05-25,106535.31,38029.59,11,2599.9
2022-05-26,107662.2,38029.59,11,2599.9
2022-05-27,109190.81,38029.59,11,2599.9
2022-05-31,108597.26,38029.59,11,2599.9
2022-06-01,108519.22,38029.59,11,2599.9
2022-06-02,109245.69,38029.59,11,2599.9
2022-06-03,114123.59,43339.62,12,2599.9
2022-06-06,113907.86,43339.62,12,2599.9
2022-06-07,115226.81,43339.62,12,2599.9
2022-06-08,114236.92,43339.62,12,2599.9
2022-06-09,112130.68,43339.62,12,2599.9
2022-06-10,110404.23,48574.74,11,1450.78
2022-06-13,107667.12,48574.74,11,1450.78
2022-06-14,108087.89,48574.74,11,1450.78
2022-06-15,107927.26,48574.74,11,1450.78
2022-06-16,105735.8,53945.46,10,271.9
2022-06-17,103814.06,47428.02,11,-319.25
2022-06-21,105690.92,47428.02,11,-319.25
2022-06-22,104797.55,47428.02,11,-319.25
2022-06-23,104580.84,47428.02,11,-319.25
2022-06-24,105680.26,47428.02,11,-319.25
2022-06-27,106135.09,42187.32,12,-319.25
2022-06-28,106351.86,42187.32,12,-319.25
2022-06-29,105815.26,42187.32,12,-319.25
