date,portfolio_value,cash,positions,total_pnl
2022-08-01,100000.0,100000.0,0,0.0
2022-08-02,100000.0,100000.0,0,0.0
2022-08-03,100000.0,100000.0,0,0.0
2022-08-04,100000.0,100000.0,0,0.0
2022-08-05,100000.0,100000.0,0,0.0
2022-08-08,109931.13,97421.99,4,0.0
2022-08-09,109566.29,97421.99,4,0.0
2022-08-10,109980.17,97421.99,4,0.0
2022-08-11,109839.35,97421.99,4,0.0
2022-08-12,110065.1,97421.99,4,0.0
2022-08-15,110254.53,79260.25,7,0.0
2022-08-16,109904.0,79260.25,7,0.0
2022-08-17,109599.81,79260.25,7,0.0
2022-08-18,110278.14,79260.25,7,0.0
2022-08-19,109239.46,79260.25,7,0.0
2022-08-22,108027.25,53413.25,11,0.0
2022-08-23,108406.46,53413.25,11,0.0
2022-08-24,108925.64,53413.25,11,0.0
2022-08-25,110264.71,53413.25,11,0.0
2022-08-26,107761.74,53413.25,11,0.0
2022-08-29,112462.33,53174.72,13,0.0
2022-08-30,111548.53,58780.28,12,-1230.48
2022-08-31,111386.63,58780.28,12,-1230.48
2022-09-01,110823.54,64154.48,11,-2410.23
2022-09-02,111189.7,64154.48,11,-2410.23
2022-09-06,116853.09,69697.28,12,-2410.23
2022-09-07,117669.1,69697.28,12,-2410.23
2022-09-08,118398.69,69697.28,12,-2410.23
2022-09-09,118330.07,69697.28,12,-2410.23
2022-09-12,118388.51,69697.28,12,-2410.23
2022-09-13,117838.69,56901.22,14,-2410.23
2022-09-14,118681.94,56901.22,14,-2410.23
2022-09-15,118199.37,56901.22,14,-2410.23
2022-09-16,117534.4,56901.22,14,-2410.23
2022-09-19,117390.53,62226.4,13,-3579.24
2022-09-20,116755.03,55788.34,14,-3579.24
2022-09-21,116700.27,55788.34,14,-3579.24
2022-09-22,115814.51,55788.34,14,-3579.24
2022-09-23,114750.69,55788.34,14,-3579.24
2022-09-26,114476.61,55788.34,14,-3579.24
2022-09-27,115014.59,64366.25,12,-5462.25
2022-09-28,115962.13,64366.25,12,-5462.25
2022-09-29,115733.71,64366.25,12,-5462.25
2022-09-30,115822.33,64366.25,12,-5462.25
2022-10-03,116626.72,64366.25,12,-5462.25
2022-10-04,117486.1,58715.08,13,-5462.25
2022-10-05,116936.37,58715.08,13,-5462.25
2022-10-06,116906.36,58715.08,13,-5462.25
2022-10-07,116702.4,58715.08,13,-5462.25
2022-10-10,116611.17,58715.08,13,-5462.25
2022-10-11,116984.03,58715.08,13,-5462.25
2022-10-12,116725.92,58715.08,13,-5462.25
2022-10-13,117207.07,64113.66,12,-6647.39
2022-10-14,116232.41,64113.66,12,-6647.39
2022-10-17,116489.9,64113.66,12,-6647.39
2022-10-18,122412.75,62567.64,14,-6647.39
2022-10-19,122178.11,62567.64,14,-6647.39
2022-10-20,121818.86,62567.64,14,-6647.39
2022-10-21,123294.2,62567.64,14,-6647.39
2022-10-24,123890.54,62567.64,14,-6647.39
2022-10-25,123968.82,56392.66,15,-6647.39
2022-10-26,124125.05,56392.66,15,-6647.39
2022-10-27,125081.56,56392.66,15,-6647.39
2022-10-28,126090.0,56392.66,15,-6647.39
2022-10-31,126503.11,56392.66,15,-6647.39
2022-11-01,121733.63,44145.72,15,-6614.75
2022-11-02,122544.22,44145.72,15,-6614.75
2022-11-03,123087.01,44145.72,15,-6614.75
2022-11-04,122641.95,44145.72,15,-6614.75
2022-11-07,122925.17,44145.72,15,-6614.75
2022-11-08,122957.24,44145.72,15,-6614.75
2022-11-09,121487.55,44145.72,15,-6614.75
2022-11-10,123345.54,44145.72,15,-6614.75
2022-11-11,122528.05,44145.72,15,-6614.75
2022-11-14,122878.15,44145.72,15,-6614.75
2022-11-15,123658.14,44145.72,15,-6614.75
2022-11-16,123052.81,44145.72,15,-6614.75
2022-11-17,123419.88,44145.72,15,-6614.75
2022-11-18,123693.46,44145.72,15,-6614.75
2022-11-21,123307.71,44145.72,15,-6614.75
2022-11-22,124947.33,44145.72,15,-6614.75
2022-11-23,125576.04,44145.72,15,-6614.75
2022-11-25,125845.37,44145.72,15,-6614.75
2022-11-28,125690.08,44145.72,15,-6614.75
2022-11-29,125367.56,44145.72,15,-6614.75
2022-11-30,126159.43,44145.72,15,-6614.75
2022-12-01,126106.41,44145.72,15,-6614.75
2022-12-02,125465.6,44145.72,15,-6614.75
2022-12-05,124558.09,44145.72,15,-6614.75
2022-12-06,124020.41,44145.72,15,-6614.75
2022-12-07,124633.36,44145.72,15,-6614.75
2022-12-08,124931.37,44145.72,15,-6614.75
2022-12-09,123616.32,44145.72,15,-6614.75
2022-12-12,124801.5,44145.72,15,-6614.75
2022-12-13,118983.75,37331.52,14,-7654.25
2022-12-14,119040.36,30479.04,15,-7654.25
2022-12-15,116741.62,30479.04,15,-7654.25
2022-12-16,115894.52,30479.04,15,-7654.25
2022-12-19,114843.31,30479.04,15,-7654.25
2022-12-20,115409.1,30479.04,15,-7654.25
2022-12-21,116294.79,30479.04,15,-7654.25
2022-12-22,114931.34,30479.04,15,-7654.25
2022-12-23,114980.54,30479.04,15,-7654.25
2022-12-27,113986.97,30479.04,15,-7654.25
2022-12-28,113240.91,30479.04,15,-7654.25
2022-12-29,113991.74,30479.04,15,-7654.25
2022-12-30,113954.37,30479.04,15,-7654.25
