date,portfolio_value,cash,positions,total_pnl
2022-08-01,100000.0,100000.0,0,0.0
2022-08-02,100000.0,100000.0,0,0.0
2022-08-03,100000.0,100000.0,0,0.0
2022-08-04,100000.0,100000.0,0,0.0
2022-08-05,100000.0,100000.0,0,0.0
2022-08-08,104647.23,86260.28,4,0.0
2022-08-09,104294.97,86260.28,4,0.0
2022-08-10,105018.11,86260.28,4,0.0
2022-08-11,104825.06,86260.28,4,0.0
2022-08-12,105290.05,86260.28,4,0.0
2022-08-15,105439.51,69799.59,7,0.0
2022-08-16,105190.59,69799.59,7,0.0
2022-08-17,104697.02,69799.59,7,0.0
2022-08-18,104978.54,69799.59,7,0.0
2022-08-19,103853.52,69799.59,7,0.0
2022-08-22,107876.38,57612.55,11,0.0
2022-08-23,108128.69,57612.55,11,0.0
2022-08-24,108387.83,57612.55,11,0.0
2022-08-25,109610.31,57612.55,11,0.0
2022-08-26,107300.78,57612.55,11,0.0
2022-08-29,106891.1,52316.95,12,0.0
2022-08-30,106128.64,57143.96,11,-1059.58
2022-08-31,105732.98,57143.96,11,-1059.58
2022-09-01,105453.63,61443.32,10,-2003.38
2022-09-02,105397.36,61443.32,10,-2003.38
2022-09-06,105494.75,61443.32,10,-2003.38
2022-09-07,106291.68,61443.32,10,-2003.38
2022-09-08,106402.13,61443.32,10,-2003.38
2022-09-09,106745.61,61443.32,10,-2003.38
2022-09-12,107009.81,61443.32,10,-2003.38
2022-09-13,105286.07,56195.48,11,-2003.38
2022-09-14,106083.75,56195.48,11,-2003.38
2022-09-15,105094.37,56195.48,11,-2003.38
2022-09-16,104828.93,56195.48,11,-2003.38
2022-09-19,104783.95,56195.48,11,-2003.38
2022-09-20,109388.62,61376.18,12,-2003.38
2022-09-21,108981.84,66402.95,11,-3106.72
2022-09-22,108652.53,66402.95,11,-3106.72
2022-09-23,108132.92,75594.59,9,-5124.28
2022-09-26,107953.51,75594.59,9,-5124.28
2022-09-27,108361.73,75594.59,9,-5124.28
2022-09-28,109095.44,75594.59,9,-5124.28
2022-09-29,108758.33,86224.87,7,-7457.46
2022-09-30,108668.62,86224.87,7,-7457.46
2022-10-03,108790.6,86224.87,7,-7457.46
2022-10-04,109294.47,74332.25,9,-7457.46
2022-10-05,109362.41,74332.25,9,-7457.46
2022-10-06,110065.54,74332.25,9,-7457.46
2022-10-07,110062.26,74332.25,9,-7457.46
2022-10-10,109537.52,74332.25,9,-7457.46
2022-10-11,99434.69,60155.38,8,-5614.26
2022-10-12,99474.73,60155.38,8,-5614.26
2022-10-13,100323.62,64327.01,7,-6530.05
2022-10-14,99714.5,64327.01,7,-6530.05
2022-10-17,99771.01,64327.01,7,-6530.05
2022-10-18,100002.36,52497.34,9,-6530.05
2022-10-19,99946.42,52497.34,9,-6530.05
2022-10-20,100079.8,52497.34,9,-6530.05
2022-10-21,101306.42,52497.34,9,-6530.05
2022-10-24,101607.27,52497.34,9,-6530.05
2022-10-25,102101.67,41619.55,11,-6530.05
2022-10-26,103030.69,41619.55,11,-6530.05
2022-10-27,104337.88,41619.55,11,-6530.05
2022-10-28,104778.96,41619.55,11,-6530.05
2022-10-31,105100.9,41619.55,11,-6530.05
2022-11-01,100001.4,22706.93,13,-4609.95
2022-11-02,99015.93,22706.93,13,-4609.95
2022-11-03,99173.56,22706.93,13,-4609.95
2022-11-04,99333.92,22706.93,13,-4609.95
2022-11-07,100179.63,22706.93,13,-4609.95
2022-11-08,100424.95,22706.93,13,-4609.95
2022-11-09,98285.47,22706.93,13,-4609.95
2022-11-10,101136.54,22706.93,13,-4609.95
2022-11-11,100930.5,22706.93,13,-4609.95
2022-11-14,100882.59,22706.93,13,-4609.95
2022-11-15,101529.59,22706.93,13,-4609.95
2022-11-16,101250.91,22706.93,13,-4609.95
2022-11-17,101319.73,22706.93,13,-4609.95
2022-11-18,101711.73,22706.93,13,-4609.95
2022-11-21,101199.17,22706.93,13,-4609.95
2022-11-22,102885.95,22836.65,13,-3681.0
2022-11-23,103135.67,22836.65,13,-3681.0
2022-11-25,103304.99,22836.65,13,-3681.0
2022-11-28,102236.59,22836.65,13,-3681.0
2022-11-29,102147.38,22836.65,13,-3681.0
2022-11-30,104320.25,22836.65,13,-3681.0
2022-12-01,103812.35,22836.65,13,-3681.0
2022-12-02,104247.13,22836.65,13,-3681.0
2022-12-05,103245.61,22836.65,13,-3681.0
2022-12-06,101584.48,22836.65,13,-3681.0
2022-12-07,108076.71,35401.64,13,-3672.92
2022-12-08,108687.16,35401.64,13,-3672.92
2022-12-09,107918.8,35401.64,13,-3672.92
2022-12-12,108931.46,35401.64,13,-3672.92
2022-12-13,109351.91,35401.64,13,-3672.92
2022-12-14,109360.2,34734.56,13,-3833.51
2022-12-15,107370.43,34734.56,13,-3833.51
2022-12-16,106753.74,34734.56,13,-3833.51
2022-12-19,106302.68,34734.56,13,-3833.51
2022-12-20,106417.43,34734.56,13,-3833.51
2022-12-21,107492.23,34734.56,13,-3833.51
2022-12-22,106254.87,34734.56,13,-3833.51
2022-12-23,106310.58,34734.56,13,-3833.51
2022-12-27,105349.44,34734.56,13,-3833.51
2022-12-28,105097.12,34734.56,13,-3833.51
2022-12-29,105865.11,34734.56,13,-3833.51
2022-12-30,105763.47,34734.56,13,-3833.51
