date,portfolio_value,cash,positions,total_pnl
2025-06-02,100000.0,100000.0,0,0.0
2025-06-03,100000.0,100000.0,0,0.0
2025-06-04,100000.0,100000.0,0,0.0
2025-06-05,100000.0,100000.0,0,0.0
2025-06-06,100000.0,100000.0,0,0.0
2025-06-09,100000.0,100000.0,0,0.0
2025-06-10,100000.0,100000.0,0,0.0
2025-06-11,100272.36,28694.6,11,0.0
2025-06-12,100503.32,28694.6,11,0.0
2025-06-13,99374.34,28694.6,11,0.0
2025-06-16,100542.84,28694.6,11,0.0
2025-06-17,100207.64,28694.6,11,0.0
2025-06-18,99574.49,28694.6,11,0.0
2025-06-20,98971.51,28694.6,11,0.0
2025-06-23,99572.07,27137.5,12,-578.34
2025-06-24,100961.08,27137.5,12,-578.34
2025-06-25,101135.41,27137.5,12,-578.34
2025-06-26,102151.2,27137.5,12,-578.34
2025-06-27,102612.69,27137.5,12,-578.34
2025-06-30,102860.05,27137.5,12,-578.34
2025-07-01,102047.4,27137.5,12,-578.34
2025-07-02,102525.03,24922.36,12,-443.14
2025-07-03,103178.19,24922.36,12,-443.14
2025-07-07,102859.08,24922.36,12,-443.14
2025-07-08,103013.2,24922.36,12,-443.14
2025-07-09,103627.55,24922.36,12,-443.14
2025-07-10,103737.67,24922.36,12,-443.14
2025-07-11,103866.01,24922.36,12,-443.14
2025-07-14,104211.91,20872.0,13,-443.14
2025-07-15,104258.32,20872.0,13,-443.14
2025-07-16,104447.18,20872.0,13,-443.14
2025-07-17,104566.9,20872.0,13,-443.14
2025-07-18,104416.36,20872.0,13,-443.14
2025-07-21,104804.03,20872.0,13,-443.14
2025-07-22,104444.39,20872.0,13,-443.14
2025-07-23,105875.49,20928.57,14,-237.12
2025-07-24,106377.91,20928.57,14,-237.12
2025-07-25,107021.72,20928.57,14,-237.12
2025-07-28,107941.94,20928.57,14,-237.12
2025-07-29,107445.19,20928.57,14,-237.12
2025-07-30,108079.47,20928.57,14,-237.12
2025-07-31,107352.27,23419.67,13,-597.32
2025-08-01,105770.91,23983.28,14,3725.8
2025-08-04,107393.11,23983.28,14,3725.8
2025-08-05,107133.86,23983.28,14,3725.8
2025-08-06,107314.08,23983.28,14,3725.8
2025-08-07,106799.24,29940.38,13,2418.19
2025-08-08,107546.8,29940.38,13,2418.19
2025-08-11,107137.13,29940.38,13,2418.19
2025-08-12,108279.43,29709.9,14,4360.99
2025-08-13,108519.68,29709.9,14,4360.99
2025-08-14,108600.15,29709.9,14,4360.99
2025-08-15,108225.2,29709.9,14,4360.99
2025-08-18,108184.06,29709.9,14,4360.99
2025-08-19,106627.74,29709.9,14,4360.99
2025-08-20,106138.08,29709.9,14,4360.99
2025-08-21,105964.88,23641.26,15,4360.99
2025-08-22,107208.43,23641.26,15,4360.99
2025-08-25,107062.46,23641.26,15,4360.99
2025-08-26,107633.89,23641.26,15,4360.99
2025-08-27,107851.28,23641.26,15,4360.99
2025-08-28,108735.82,23641.26,15,4360.99
2025-08-29,107537.91,23641.26,15,4360.99
2025-09-02,106972.58,23854.17,15,4670.65
2025-09-03,107510.15,23854.17,15,4670.65
2025-09-04,108063.66,23854.17,15,4670.65
2025-09-05,108202.51,23854.17,15,4670.65
2025-09-08,108821.06,23854.17,15,4670.65
2025-09-09,109489.71,23854.17,15,4670.65
2025-09-10,111292.59,23854.17,15,4670.65
2025-09-11,111124.52,32780.04,15,10679.55
2025-09-12,111325.14,32780.04,15,10679.55
2025-09-15,111644.63,32780.04,15,10679.55
2025-09-16,111616.04,32780.04,15,10679.55
2025-09-17,111135.01,32780.04,15,10679.55
2025-09-18,111528.0,32780.04,15,10679.55
2025-09-19,111746.19,32780.04,15,10679.55
2025-09-22,112046.86,34053.64,15,10959.45
2025-09-23,111600.55,34053.64,15,10959.45
2025-09-24,111551.13,34053.64,15,10959.45
2025-09-25,110724.52,34053.64,15,10959.45
2025-09-26,111038.9,34053.64,15,10959.45
2025-09-29,111058.32,34053.64,15,10959.45
2025-09-30,111223.1,34053.64,15,10959.45
2025-10-01,112159.29,34053.64,15,10959.45
2025-10-02,112769.53,34053.64,15,10959.45
2025-10-03,112327.19,34053.64,15,10959.45
2025-10-06,114125.53,34053.64,15,10959.45
2025-10-07,113823.72,34053.64,15,10959.45
2025-10-08,115327.25,34053.64,15,10959.45
2025-10-09,115562.31,34053.64,15,10959.45
2025-10-10,112987.73,39557.83,15,13719.65
2025-10-13,114403.27,39557.83,15,13719.65
2025-10-14,113828.42,39557.83,15,13719.65
2025-10-15,114424.14,39557.83,15,13719.65
2025-10-16,114242.44,39557.83,15,13719.65
2025-10-17,114285.0,39557.83,15,13719.65
2025-10-20,115096.87,39557.83,15,13719.65
2025-10-21,115032.19,39557.83,15,13719.65
2025-10-22,115666.88,39557.83,15,13719.65
2025-10-23,116650.71,39557.83,15,13719.65
2025-10-24,117500.75,43008.55,14,13909.91
2025-10-27,118377.47,43008.55,14,13909.91
2025-10-28,118590.02,43008.55,14,13909.91
2025-10-29,119292.14,43008.55,14,13909.91
2025-10-30,117818.12,37462.75,15,13909.91
2025-10-31,118316.0,37462.75,15,13909.91
2025-11-03,118713.65,37462.75,15,13909.91
2025-11-04,117349.2,37462.75,15,13909.91
2025-11-05,117484.53,37462.75,15,13909.91
2025-11-06,116260.47,37462.75,15,13909.91
2025-11-07,116653.16,37462.75,15,13909.91
2025-11-10,118498.54,40627.12,15,17185.09
2025-11-11,118394.79,40627.12,15,17185.09
2025-11-12,118083.9,40627.12,15,17185.09
2025-11-13,116765.21,40627.12,15,17185.09
2025-11-14,116948.46,40627.12,15,17185.09
2025-11-17,116267.29,40627.12,15,17185.09
2025-11-18,115456.87,40627.12,15,17185.09
2025-11-19,115889.56,40627.12,15,17185.09
2025-11-20,114648.14,40627.12,15,17185.09
2025-11-21,114842.33,40627.12,15,17185.09
2025-11-24,116289.91,40627.12,15,17185.09
2025-11-25,116978.16,40627.12,15,17185.09
2025-11-26,117225.69,40627.12,15,17185.09
2025-11-28,117717.68,40627.12,15,17185.09
