date,portfolio_value,cash,positions,total_pnl
2021-11-01,100000.0,100000.0,0,0.0
2021-11-02,100000.0,100000.0,0,0.0
2021-11-03,100000.0,100000.0,0,0.0
2021-11-04,100000.0,100000.0,0,0.0
2021-11-05,100000.0,100000.0,0,0.0
2021-11-08,100188.69,82172.89,3,0.0
2021-11-09,100150.93,82172.89,3,0.0
2021-11-10,99774.33,82172.89,3,0.0
2021-11-11,100211.87,82172.89,3,0.0
2021-11-12,100377.38,82172.89,3,0.0
2021-11-15,100104.89,67992.46,6,0.0
2021-11-16,100376.49,67992.46,6,0.0
2021-11-17,100487.95,67992.46,6,0.0
2021-11-18,100695.69,67992.46,6,0.0
2021-11-19,100628.27,67992.46,6,0.0
2021-11-22,103910.33,46507.69,11,0.0
2021-11-23,103334.74,46507.69,11,0.0
2021-11-24,103911.88,46507.69,11,0.0
2021-11-26,102945.96,46507.69,11,0.0
2021-11-29,104232.16,46507.69,11,0.0
2021-11-30,108079.17,45652.88,13,0.0
2021-12-01,107346.35,51119.4,12,-1200.03
2021-12-02,107073.52,51119.4,12,-1200.03
2021-12-03,106259.8,51119.4,12,-1200.03
2021-12-06,106840.33,51119.4,12,-1200.03
2021-12-07,114132.39,49983.95,14,-1200.03
2021-12-08,114362.06,49983.95,14,-1200.03
2021-12-09,114085.77,49983.95,14,-1200.03
2021-12-10,115448.87,49983.95,14,-1200.03
2021-12-13,115457.71,49983.95,14,-1200.03
2021-12-14,113970.9,49187.59,14,-2270.53
2021-12-15,115655.31,49187.59,14,-2270.53
2021-12-16,114397.38,49187.59,14,-2270.53
2021-12-17,113704.86,49187.59,14,-2270.53
2021-12-20,113262.86,49187.59,14,-2270.53
2021-12-21,113822.3,42513.73,15,-2270.53
2021-12-22,114742.17,42513.73,15,-2270.53
2021-12-23,114878.45,42513.73,15,-2270.53
2021-12-27,115921.34,42513.73,15,-2270.53
2021-12-28,115788.79,42513.73,15,-2270.53
2021-12-29,111012.34,30915.2,15,-2414.05
2021-12-30,110781.56,30915.2,15,-2414.05
2021-12-31,110543.51,30915.2,15,-2414.05
2022-01-03,110236.8,30915.2,15,-2414.05
2022-01-04,109795.23,30915.2,15,-2414.05
2022-01-05,102685.76,20932.67,15,-2278.71
2022-01-06,101990.68,20932.67,15,-2278.71
2022-01-07,100930.64,20932.67,15,-2278.71
2022-01-10,100774.53,20932.67,15,-2278.71
2022-01-11,101219.26,20932.67,15,-2278.71
2022-01-12,96189.86,15406.52,14,-2541.91
2022-01-13,94690.53,15406.52,14,-2541.91
2022-01-14,94642.42,15406.52,14,-2541.91
2022-01-18,92861.07,15406.52,14,-2541.91
2022-01-19,92428.36,15406.52,14,-2541.91
2022-01-20,91324.43,20839.55,13,-2978.98
2022-01-21,90392.93,28386.81,11,-4635.75
2022-01-24,90586.4,36496.37,9,-6415.93
2022-01-25,89417.61,36496.37,9,-6415.93
2022-01-26,89909.73,41420.25,8,-7497.13
2022-01-27,89972.22,36080.01,9,-7497.13
2022-01-28,91405.29,36080.01,9,-7497.13
2022-01-31,92133.76,36080.01,9,-7497.13
2022-02-01,92724.48,36080.01,9,-7497.13
2022-02-02,94051.7,36080.01,9,-7497.13
2022-02-03,97660.65,35092.04,11,-7497.13
2022-02-04,97788.54,35092.04,11,-7497.13
2022-02-07,97725.4,35092.04,11,-7497.13
2022-02-08,97964.96,35092.04,11,-7497.13
2022-02-09,98414.73,35092.04,11,-7497.13
2022-02-10,96758.1,20459.34,14,-7497.13
2022-02-11,96020.1,20459.34,14,-7497.13
2022-02-14,95527.16,20459.34,14,-7497.13
2022-02-15,96397.18,20459.34,14,-7497.13
2022-02-16,96219.83,20459.34,14,-7497.13
2022-02-17,94940.98,20024.69,14,-7936.49
2022-02-18,94140.27,20024.69,14,-7936.49
2022-02-22,93306.04,28659.39,12,-9831.85
2022-02-23,93110.17,28659.39,12,-9831.85
2022-02-24,93822.43,33628.11,11,-10922.47
2022-02-25,95048.67,28489.29,12,-11253.91
