date,portfolio_value,cash,positions,total_pnl
2021-11-01,100000.0,100000.0,0,0.0
2021-11-02,100000.0,100000.0,0,0.0
2021-11-03,100000.0,100000.0,0,0.0
2021-11-04,100000.0,100000.0,0,0.0
2021-11-05,100000.0,100000.0,0,0.0
2021-11-08,100094.29,76132.77,4,0.0
2021-11-09,99610.16,76132.77,4,0.0
2021-11-10,99086.66,76132.77,4,0.0
2021-11-11,99018.42,76132.77,4,0.0
2021-11-12,99248.62,76132.77,4,0.0
2021-11-15,99459.24,56967.31,8,0.0
2021-11-16,99416.01,56967.31,8,0.0
2021-11-17,99454.05,56967.31,8,0.0
2021-11-18,99618.14,56967.31,8,0.0
2021-11-19,99500.93,61060.75,7,-898.56
2021-11-22,98046.75,41303.9,11,-898.56
2021-11-23,97721.51,41303.9,11,-898.56
2021-11-24,98168.63,41303.9,11,-898.56
2021-11-26,97096.21,41303.9,11,-898.56
2021-11-29,97880.5,41303.9,11,-898.56
2021-11-30,96016.4,31876.97,13,-898.56
2021-12-01,95062.46,36700.37,12,-1957.41
2021-12-02,95914.74,36700.37,12,-1957.41
2021-12-03,95241.92,36700.37,12,-1957.41
2021-12-06,95848.21,36700.37,12,-1957.41
2021-12-07,101245.17,40518.29,13,-1957.41
2021-12-08,101632.53,40518.29,13,-1957.41
2021-12-09,101381.46,40518.29,13,-1957.41
2021-12-10,101971.41,40518.29,13,-1957.41
2021-12-13,101660.46,40518.29,13,-1957.41
2021-12-14,101054.86,35543.19,14,-1957.41
2021-12-15,102925.69,35543.19,14,-1957.41
2021-12-16,101972.62,35543.19,14,-1957.41
2021-12-17,101194.53,35543.19,14,-1957.41
2021-12-20,100209.26,35543.19,14,-1957.41
2021-12-21,101539.41,30705.89,15,-1957.41
2021-12-22,102556.34,30705.89,15,-1957.41
2021-12-23,102924.55,30705.89,15,-1957.41
2021-12-27,103662.89,30705.89,15,-1957.41
2021-12-28,103544.25,30705.89,15,-1957.41
2021-12-29,99747.11,20743.29,15,-2209.97
2021-12-30,99748.38,20743.29,15,-2209.97
2021-12-31,99133.14,20743.29,15,-2209.97
2022-01-03,99524.33,20743.29,15,-2209.97
2022-01-04,98653.74,24610.44,14,-3058.79
2022-01-05,96079.16,19880.69,15,-3058.79
2022-01-06,95768.01,19880.69,15,-3058.79
2022-01-07,94904.93,19880.69,15,-3058.79
2022-01-10,94699.35,24712.25,14,-4119.35
2022-01-11,95477.79,24712.25,14,-4119.35
2022-01-12,95393.73,24712.25,14,-4119.35
2022-01-13,94399.4,24712.25,14,-4119.35
2022-01-14,94209.01,24712.25,14,-4119.35
2022-01-18,92825.91,30398.19,13,-5367.46
2022-01-19,92633.33,30398.19,13,-5367.46
2022-01-20,95800.1,34080.99,14,-5367.46
2022-01-21,94506.65,36971.61,13,-6001.99
2022-01-24,94252.88,44929.52,11,-7748.93
2022-01-25,92902.25,44929.52,11,-7748.93
2022-01-26,93434.98,44929.52,11,-7748.93
2022-01-27,93104.2,44929.52,11,-7748.93
2022-01-28,94556.43,49838.62,10,-8826.93
2022-01-31,95180.88,49838.62,10,-8826.93
2022-02-01,95851.16,49838.62,10,-8826.93
2022-02-02,96813.56,49838.62,10,-8826.93
2022-02-03,94429.96,37315.41,13,-9685.97
2022-02-04,95237.96,37315.41,13,-9685.97
2022-02-07,95405.88,37315.41,13,-9685.97
2022-02-08,95784.99,37315.41,13,-9685.97
2022-02-09,97042.09,37315.41,13,-9685.97
2022-02-10,95822.39,28743.13,15,-9685.97
2022-02-11,94248.57,28743.13,15,-9685.97
2022-02-14,94472.43,28743.13,15,-9685.97
2022-02-15,96414.76,28743.13,15,-9685.97
2022-02-16,96312.89,28743.13,15,-9685.97
2022-02-17,93719.92,28743.13,15,-9685.97
2022-02-18,92399.79,31909.93,14,-10381.97
2022-02-22,91666.53,31909.93,14,-10381.97
2022-02-23,90552.76,35796.19,13,-11234.99
2022-02-24,91753.46,35796.19,13,-11234.99
2022-02-25,92440.87,35796.19,13,-11234.99
