date,portfolio_value,cash,positions,total_pnl
2021-11-01,100000.0,100000.0,0,0.0
2021-11-02,100000.0,100000.0,0,0.0
2021-11-03,100000.0,100000.0,0,0.0
2021-11-04,100000.0,100000.0,0,0.0
2021-11-05,100000.0,100000.0,0,0.0
2021-11-08,100000.0,100000.0,0,0.0
2021-11-09,100000.0,100000.0,0,0.0
2021-11-10,98816.16,35951.23,11,0.0
2021-11-11,98615.03,35951.23,11,0.0
2021-11-12,99021.26,35951.23,11,0.0
2021-11-15,98738.52,35951.23,11,0.0
2021-11-16,98758.29,35951.23,11,0.0
2021-11-17,98409.07,35951.23,11,0.0
2021-11-18,98068.89,35951.23,11,0.0
2021-11-19,97563.56,31249.97,12,-281.68
2021-11-22,95854.67,36779.4,11,-1495.39
2021-11-23,95803.1,36779.4,11,-1495.39
2021-11-24,96437.83,36779.4,11,-1495.39
2021-11-26,95156.8,36779.4,11,-1495.39
2021-11-29,95460.95,36779.4,11,-1495.39
2021-11-30,93989.63,36779.4,11,-1495.39
2021-12-01,92575.12,36451.45,11,-2384.59
2021-12-02,93266.96,41182.45,10,-3423.09
2021-12-03,92556.02,41182.45,10,-3423.09
2021-12-06,93285.84,41182.45,10,-3423.09
2021-12-07,94399.24,41182.45,10,-3423.09
2021-12-08,94793.13,41182.45,10,-3423.09
2021-12-09,94420.07,41182.45,10,-3423.09
2021-12-10,95073.71,31982.16,12,-3055.87
2021-12-13,94740.15,36005.24,11,-3939.09
2021-12-14,94113.57,36005.24,11,-3939.09
2021-12-15,96103.47,36005.24,11,-3939.09
2021-12-16,95675.34,36005.24,11,-3939.09
2021-12-17,94980.95,36005.24,11,-3939.09
2021-12-20,94262.72,36005.24,11,-3939.09
2021-12-21,95897.23,22678.71,14,-3737.79
2021-12-22,96891.59,22678.71,14,-3737.79
2021-12-23,97517.08,22678.71,14,-3737.79
2021-12-27,98449.82,22678.71,14,-3737.79
2021-12-28,98205.96,22678.71,14,-3737.79
2021-12-29,98228.29,22678.71,14,-3737.79
2021-12-30,98064.19,22678.71,14,-3737.79
2021-12-31,97448.1,20743.29,14,-3631.32
2022-01-03,97674.56,20743.29,14,-3631.32
2022-01-04,96534.2,20743.29,14,-3631.32
2022-01-05,94068.47,20743.29,14,-3631.32
2022-01-06,93787.67,25194.54,13,-4608.57
2022-01-07,92930.38,25194.54,13,-4608.57
2022-01-10,92944.12,25194.54,13,-4608.57
2022-01-11,98473.29,25201.64,15,-4608.57
2022-01-12,98448.17,25201.64,15,-4608.57
2022-01-13,96357.44,25201.64,15,-4608.57
2022-01-14,96163.16,25201.64,15,-4608.57
2022-01-18,94628.38,31472.24,14,-5985.12
2022-01-19,94097.63,31472.24,14,-5985.12
2022-01-20,93218.5,31472.24,14,-5985.12
2022-01-21,91787.96,43009.95,11,-8377.05
2022-01-24,91819.42,46874.05,10,-9225.18
2022-01-25,90813.88,46874.05,10,-9225.18
2022-01-26,91421.67,46874.05,10,-9225.18
2022-01-27,91381.52,46874.05,10,-9225.18
2022-01-28,92955.96,46874.05,10,-9225.18
2022-01-31,93891.41,46874.05,10,-9225.18
2022-02-01,94623.98,36706.36,12,-9225.18
2022-02-02,95530.58,36706.36,12,-9225.18
2022-02-03,93620.62,41381.36,11,-10251.47
2022-02-04,93751.84,41381.36,11,-10251.47
2022-02-07,93564.78,41381.36,11,-10251.47
2022-02-08,93679.52,41381.36,11,-10251.47
2022-02-09,94550.85,41381.36,11,-10251.47
2022-02-10,93710.33,35813.36,12,-10251.47
2022-02-11,92584.16,35813.36,12,-10251.47
2022-02-14,92418.96,35813.36,12,-10251.47
2022-02-15,93361.88,35813.36,12,-10251.47
2022-02-16,93398.06,35813.36,12,-10251.47
2022-02-17,91916.05,35813.36,12,-10251.47
2022-02-18,91420.56,39604.56,11,-11083.67
2022-02-22,90912.13,34233.16,12,-11083.67
2022-02-23,90435.57,34233.16,12,-11083.67
2022-02-24,91199.25,38798.92,11,-12085.91
2022-02-25,92190.89,38798.92,11,-12085.91
