date,portfolio_value,cash,positions,total_pnl
2024-10-01,100000.0,100000.0,0,0.0
2024-10-02,100000.0,100000.0,0,0.0
2024-10-03,100000.0,100000.0,0,0.0
2024-10-04,100244.3,89241.74,2,0.0
2024-10-07,100303.26,89241.74,2,0.0
2024-10-08,100702.16,89241.74,2,0.0
2024-10-09,100828.88,84217.28,3,0.0
2024-10-10,101101.95,84217.28,3,0.0
2024-10-11,101018.68,84217.28,3,0.0
2024-10-14,101251.98,78317.78,4,0.0
2024-10-15,100539.48,78317.78,4,0.0
2024-10-16,100879.12,78317.78,4,0.0
2024-10-17,101235.15,73286.18,5,0.0
2024-10-18,101289.89,73286.18,5,0.0
2024-10-21,101374.76,73286.18,5,0.0
2024-10-22,101245.82,68359.22,6,0.0
2024-10-23,100525.01,68359.22,6,0.0
2024-10-24,100703.17,68359.22,6,0.0
2024-10-25,101203.24,63410.97,7,0.0
2024-10-28,100944.2,63410.97,7,0.0
2024-10-29,101473.85,63410.97,7,0.0
2024-10-30,100824.89,63410.97,7,0.0
2024-10-31,99536.18,63410.97,7,0.0
2024-11-01,99628.57,63410.97,7,0.0
2024-11-04,99273.74,61997.11,7,-516.96
2024-11-05,101200.18,61997.11,7,-516.96
2024-11-06,102558.22,68597.11,6,1051.44
2024-11-07,103476.59,63510.91,7,1051.44
2024-11-08,103545.07,63510.91,7,1051.44
2024-11-11,104142.95,70110.91,6,2565.24
2024-11-12,103952.42,70110.91,6,2565.24
2024-11-13,103307.93,70110.91,6,2565.24
2024-11-14,103087.87,70110.91,6,2565.24
2024-11-15,102657.22,65091.79,7,2565.24
2024-11-18,103157.14,65091.79,7,2565.24
2024-11-19,103633.85,65091.79,7,2565.24
2024-11-20,103410.12,60440.75,8,2565.24
2024-11-21,103111.09,60440.75,8,2565.24
2024-11-22,102982.93,60440.75,8,2565.24
2024-11-25,103030.65,65750.99,7,2060.89
2024-11-26,102728.88,65750.99,7,2060.89
2024-11-27,102625.48,65750.99,7,2060.89
2024-11-29,102555.55,65750.99,7,2060.89
2024-12-02,102902.53,65750.99,7,2060.89
2024-12-03,103200.67,65750.99,7,2060.89
2024-12-04,103950.17,61015.37,8,2060.89
2024-12-05,103632.96,61015.37,8,2060.89
2024-12-06,104266.63,61015.37,8,2060.89
2024-12-09,103569.67,61015.37,8,2060.89
2024-12-10,103114.28,61015.37,8,2060.89
2024-12-11,104502.48,61015.37,8,2060.89
2024-12-12,103945.67,61015.37,8,2060.89
2024-12-13,105310.2,61015.37,8,2060.89
2024-12-16,106575.56,65665.37,7,1677.73
2024-12-17,106000.52,65665.37,7,1677.73
2024-12-18,104040.67,65665.37,7,1677.73
2024-12-19,103402.79,70271.37,6,1259.27
2024-12-20,103972.02,70271.37,6,1259.27
2024-12-23,104529.07,70271.37,6,1259.27
2024-12-24,105213.9,70271.37,6,1259.27
2024-12-26,105275.78,70271.37,6,1259.27
2024-12-27,104707.13,70271.37,6,1259.27
2024-12-30,104201.28,70271.37,6,1259.27
2024-12-31,103647.37,65100.31,7,1259.27
2025-01-02,103929.52,65100.31,7,1259.27
2025-01-03,104864.28,65100.31,7,1259.27
