date,portfolio_value,cash,positions,total_pnl
2025-01-02,100000.0,100000.0,0,0.0
2025-01-03,100000.0,100000.0,0,0.0
2025-01-06,100000.0,100000.0,0,0.0
2025-01-07,99835.5,90316.94,2,0.0
2025-01-08,99735.12,94780.94,1,-293.04
2025-01-10,99735.78,94780.94,1,-293.04
2025-01-13,99788.06,84990.93,2,-293.04
2025-01-14,100631.68,84990.93,2,-293.04
2025-01-15,100715.58,84990.93,2,-293.04
2025-01-16,101669.08,60626.78,5,-293.04
2025-01-17,101832.98,60626.78,5,-293.04
2025-01-21,102740.5,60626.78,5,-293.04
2025-01-22,102207.35,60626.78,5,-293.04
2025-01-23,102960.92,66226.78,4,494.64
2025-01-24,102745.45,66226.78,4,494.64
2025-01-27,100115.42,53924.47,5,494.64
2025-01-28,101168.76,53924.47,5,494.64
2025-01-29,101514.21,53924.47,5,494.64
2025-01-30,106884.04,57882.87,6,494.64
2025-01-31,106300.56,57882.87,6,494.64
2025-02-03,106743.1,57882.87,6,494.64
2025-02-04,106794.01,52675.6,7,494.64
2025-02-05,107225.43,52675.6,7,494.64
2025-02-06,106987.81,52675.6,7,494.64
2025-02-07,106330.19,51786.36,7,232.84
2025-02-10,106471.11,51786.36,7,232.84
2025-02-11,106465.58,51786.36,7,232.84
2025-02-12,102523.11,35220.4,8,-58.36
2025-02-13,102571.63,35220.4,8,-58.36
2025-02-14,102750.94,35220.4,8,-58.36
2025-02-18,102535.51,42486.45,7,542.57
2025-02-19,102260.38,42486.45,7,542.57
2025-02-20,100904.69,42486.45,7,542.57
2025-02-21,98860.72,33092.23,7,-159.23
2025-02-24,96709.88,37682.23,6,-776.5
2025-02-25,95874.17,37682.23,6,-776.5
2025-02-26,97457.82,33105.06,7,-776.5
2025-02-27,95308.84,33105.06,7,-776.5
2025-02-28,96313.73,33105.06,7,-776.5
2025-03-03,95863.63,51772.42,4,-4994.34
2025-03-04,94692.82,51772.42,4,-4994.34
2025-03-05,95431.48,51772.42,4,-4994.34
2025-03-06,94078.49,42724.3,6,-4994.34
2025-03-07,93433.83,42724.3,6,-4994.34
2025-03-10,91884.88,42724.3,6,-4994.34
2025-03-11,91658.63,51488.12,5,-6066.58
2025-03-12,91892.02,51488.12,5,-6066.58
2025-03-13,90908.17,51488.12,5,-6066.58
2025-03-14,91636.73,42205.4,6,-6066.58
2025-03-17,91926.55,42205.4,6,-6066.58
2025-03-18,91251.93,42205.4,6,-6066.58
2025-03-19,95867.34,44125.72,7,-6066.58
2025-03-20,95990.35,44125.72,7,-6066.58
2025-03-21,96145.96,44125.72,7,-6066.58
2025-03-24,97115.64,35448.47,8,-6066.58
2025-03-25,96743.35,35448.47,8,-6066.58
2025-03-26,96078.47,35448.47,8,-6066.58
2025-03-27,99842.46,40598.7,8,-6318.26
2025-03-28,99163.22,40598.7,8,-6318.26
2025-03-31,99153.07,40598.7,8,-6318.26
2025-04-01,99058.26,42571.56,8,-6724.26
2025-04-02,98912.58,42571.56,8,-6724.26
2025-04-03,98540.89,42571.56,8,-6724.26
2025-04-04,92995.94,40611.84,6,-6549.56
2025-04-07,93072.5,44839.84,5,-6944.92
2025-04-08,93088.33,44839.84,5,-6944.92
2025-04-09,97763.45,55376.12,7,-11519.77
2025-04-10,97887.21,55376.12,7,-11519.77
2025-04-11,98310.3,55376.12,7,-11519.77
2025-04-14,97457.71,53451.4,8,-11365.77
2025-04-15,97375.69,53451.4,8,-11365.77
2025-04-16,97195.09,53451.4,8,-11365.77
2025-04-17,99589.45,61557.0,8,-11403.07
2025-04-21,98259.7,61557.0,8,-11403.07
2025-04-22,98683.81,61557.0,8,-11403.07
2025-04-23,100962.62,61200.94,8,-11687.27
2025-04-24,100915.26,61200.94,8,-11687.27
2025-04-25,101257.51,61200.94,8,-11687.27
2025-04-28,101337.43,64277.02,8,-13662.73
2025-04-29,101642.0,64277.02,8,-13662.73
2025-04-30,101816.51,68717.02,7,-14230.68
2025-05-01,100364.1,62011.62,8,-14230.68
2025-05-02,100625.57,62011.62,8,-14230.68
2025-05-05,101095.62,62011.62,8,-14230.68
2025-05-06,84483.39,30951.91,8,-14763.8
2025-05-07,83900.13,30951.91,8,-14763.8
2025-05-08,83743.6,30951.91,8,-14763.8
2025-05-09,83361.01,30951.91,8,-14763.8
2025-05-12,84694.46,30951.91,8,-14763.8
2025-05-13,84954.46,30951.91,8,-14763.8
2025-05-14,85119.51,17572.49,8,-15773.48
2025-05-15,85317.33,17572.49,8,-15773.48
2025-05-16,85690.13,17572.49,8,-15773.48
2025-05-19,86035.26,24550.98,6,-17004.49
2025-05-20,85767.67,24550.98,6,-17004.49
2025-05-21,85416.74,24550.98,6,-17004.49
2025-05-22,85707.21,20531.44,7,-17004.49
2025-05-23,85136.86,20531.44,7,-17004.49
2025-05-27,86730.6,20531.44,7,-17004.49
2025-05-28,86784.27,20531.44,7,-17004.49
2025-05-29,86980.51,20531.44,7,-17004.49
2025-05-30,87126.18,20531.44,7,-17004.49
2025-06-02,87567.72,20531.44,7,-17004.49
2025-06-03,87756.74,20531.44,7,-17004.49
2025-06-04,88204.68,20531.44,7,-17004.49
2025-06-05,88113.74,20531.44,7,-17004.49
2025-06-06,88270.76,20531.44,7,-17004.49
2025-06-09,87893.14,20531.44,7,-17004.49
2025-06-10,88132.65,18883.29,8,-16869.94
2025-06-11,88451.47,18883.29,8,-16869.94
2025-06-12,88761.92,18883.29,8,-16869.94
2025-06-13,87425.27,20213.85,7,-16975.14
2025-06-16,88397.75,20213.85,7,-16975.14
2025-06-17,88134.71,20213.85,7,-16975.14
2025-06-18,87665.01,20213.85,7,-16975.14
2025-06-20,86763.09,20213.85,7,-16975.14
2025-06-23,87618.83,20213.85,7,-16975.14
2025-06-24,88478.76,22910.97,7,-17322.06
2025-06-25,88964.12,22910.97,7,-17322.06
2025-06-26,90025.68,22910.97,7,-17322.06
2025-06-27,90348.1,22214.75,7,-16689.9
2025-06-30,90584.41,22214.75,7,-16689.9
2025-07-01,89263.32,22214.75,7,-16689.9
2025-07-02,89928.49,20528.45,7,-16689.9
2025-07-03,90857.48,20528.45,7,-16689.9
2025-07-07,90567.4,20528.45,7,-16689.9
2025-07-08,93278.27,26060.57,8,-16524.15
2025-07-09,94258.57,26060.57,8,-16524.15
2025-07-10,94096.96,26060.57,8,-16524.15
2025-07-11,94388.31,26060.57,8,-16524.15
2025-07-14,94427.46,26060.57,8,-16524.15
2025-07-15,95047.41,26060.57,8,-16524.15
2025-07-16,92119.05,19887.04,7,-16442.25
2025-07-17,92689.03,19887.04,7,-16442.25
2025-07-18,92478.42,19887.04,7,-16442.25
2025-07-21,93069.96,20276.74,6,-16688.39
2025-07-22,92092.79,20276.74,6,-16688.39
2025-07-23,92756.24,20276.74,6,-16688.39
2025-07-24,93504.45,23844.64,6,-15571.49
2025-07-25,93791.17,23844.64,6,-15571.49
2025-07-28,94194.85,23844.64,6,-15571.49
2025-07-29,94330.11,23844.64,6,-15571.49
2025-07-30,95076.36,23844.64,6,-15571.49
2025-07-31,95800.03,23844.64,6,-15571.49
2025-08-01,94398.96,23844.64,6,-15571.49
2025-08-04,96563.8,23844.64,6,-15571.49
2025-08-05,95608.78,23844.64,6,-15571.49
2025-08-06,96116.11,23844.64,6,-15571.49
2025-08-07,96057.25,23844.64,6,-15571.49
2025-08-08,96696.67,23844.64,6,-15571.49
2025-08-11,96468.03,23844.64,6,-15571.49
2025-08-12,97750.84,23844.64,6,-15571.49
2025-08-13,96794.99,23844.64,6,-15571.49
2025-08-14,97065.92,23844.64,6,-15571.49
2025-08-15,96678.92,23844.64,6,-15571.49
2025-08-18,96446.49,23844.64,6,-15571.49
2025-08-19,94845.39,23844.64,6,-15571.49
2025-08-20,94264.26,23844.64,6,-15571.49
2025-08-21,94024.97,23844.64,6,-15571.49
2025-08-22,95115.81,23844.64,6,-15571.49
2025-08-25,95300.52,23844.64,6,-15571.49
2025-08-26,95532.51,23844.64,6,-15571.49
2025-08-27,95749.5,23844.64,6,-15571.49
2025-08-28,96536.21,23844.64,6,-15571.49
2025-08-29,95274.82,23844.64,6,-15571.49
2025-09-02,94868.33,23844.64,6,-15571.49
2025-09-03,96434.85,23844.64,6,-15571.49
2025-09-04,97018.91,23844.64,6,-15571.49
2025-09-05,97720.36,23844.64,6,-15571.49
2025-09-08,98337.87,23844.64,6,-15571.49
2025-09-09,98631.36,23844.64,6,-15571.49
2025-09-10,100835.99,23844.64,6,-15571.49
2025-09-11,100415.51,23844.64,6,-15571.49
2025-09-12,100954.1,23844.64,6,-15571.49
2025-09-15,102288.0,23844.64,6,-15571.49
2025-09-16,101666.62,23844.64,6,-15571.49
2025-09-17,100554.12,23844.64,6,-15571.49
2025-09-18,101105.16,23844.64,6,-15571.49
2025-09-19,101747.48,23844.64,6,-15571.49
2025-09-22,101746.15,23844.64,6,-15571.49
2025-09-23,100898.58,23844.64,6,-15571.49
2025-09-24,100625.08,23844.64,6,-15571.49
2025-09-25,100015.39,23844.64,6,-15571.49
2025-09-26,100207.61,23844.64,6,-15571.49
2025-09-29,100124.85,23844.64,6,-15571.49
2025-09-30,100443.17,23844.64,6,-15571.49
2025-10-01,100980.29,23844.64,6,-15571.49
2025-10-02,101420.62,23844.64,6,-15571.49
2025-10-03,101248.88,23844.64,6,-15571.49
2025-10-06,101841.18,23844.64,6,-15571.49
2025-10-07,101249.82,23844.64,6,-15571.49
2025-10-08,102147.86,23844.64,6,-15571.49
2025-10-09,102387.62,23844.64,6,-15571.49
2025-10-10,99505.63,23844.64,6,-15571.49
2025-10-13,102316.26,23844.64,6,-15571.49
2025-10-14,101263.43,23844.64,6,-15571.49
2025-10-15,102265.53,23844.64,6,-15571.49
2025-10-16,102341.16,23844.64,6,-15571.49
2025-10-17,102314.97,23844.64,6,-15571.49
2025-10-20,102535.2,23844.64,6,-15571.49
2025-10-21,101583.28,23844.64,6,-15571.49
2025-10-22,101479.89,23844.64,6,-15571.49
2025-10-23,102124.04,23844.64,6,-15571.49
2025-10-24,103835.13,23844.64,6,-15571.49
2025-10-27,105666.02,23844.64,6,-15571.49
2025-10-28,107033.99,23844.64,6,-15571.49
2025-10-29,108776.84,23844.64,6,-15571.49
2025-10-30,106809.27,23844.64,6,-15571.49
2025-10-31,105881.27,23844.64,6,-15571.49
2025-11-03,105893.59,23844.64,6,-15571.49
2025-11-04,103980.52,23844.64,6,-15571.49
2025-11-05,104372.48,23844.64,6,-15571.49
2025-11-06,103038.53,23844.64,6,-15571.49
2025-11-07,102455.8,23844.64,6,-15571.49
2025-11-10,104891.33,23844.64,6,-15571.49
2025-11-11,104182.49,23844.64,6,-15571.49
2025-11-12,104008.95,23844.64,6,-15571.49
2025-11-13,101699.34,23844.64,6,-15571.49
2025-11-14,102187.28,23844.64,6,-15571.49
2025-11-17,102372.23,23844.64,6,-15571.49
