date,portfolio_value,cash,positions,total_pnl
2023-05-01,100000.0,100000.0,0,0.0
2023-05-02,100000.0,100000.0,0,0.0
2023-05-03,100000.0,100000.0,0,0.0
2023-05-04,100000.0,100000.0,0,0.0
2023-05-05,100000.0,100000.0,0,0.0
2023-05-08,105181.77,86292.79,4,0.0
2023-05-09,105013.41,86292.79,4,0.0
2023-05-10,105181.26,86292.79,4,0.0
2023-05-11,105193.43,86292.79,4,0.0
2023-05-12,105050.76,86292.79,4,0.0
2023-05-15,115747.88,90854.76,7,0.0
2023-05-16,116333.75,90854.76,7,0.0
2023-05-17,116337.32,90854.76,7,0.0
2023-05-18,116988.53,90854.76,7,0.0
2023-05-19,117208.34,90854.76,7,0.0
2023-05-22,123495.93,68564.85,12,0.0
2023-05-23,123199.75,68564.85,12,0.0
2023-05-24,123502.73,68564.85,12,0.0
2023-05-25,129318.14,68564.85,12,0.0
2023-05-26,130932.24,68564.85,12,0.0
2023-05-30,131872.74,54764.34,14,0.0
2023-05-31,130398.66,54764.34,14,0.0
2023-06-01,131454.06,54764.34,14,0.0
2023-06-02,131530.65,54764.34,14,0.0
2023-06-05,132063.9,54764.34,14,0.0
2023-06-06,132393.63,46906.26,15,0.0
2023-06-07,129796.52,46906.26,15,0.0
2023-06-08,131605.59,46906.26,15,0.0
2023-06-09,132333.59,46906.26,15,0.0
2023-06-12,133835.07,46906.26,15,0.0
2023-06-13,128374.39,41144.27,14,-520.01
2023-06-14,129640.88,41144.27,14,-520.01
2023-06-15,130213.07,41144.27,14,-520.01
2023-06-16,128321.33,41144.27,14,-520.01
2023-06-20,128017.83,41144.27,14,-520.01
2023-06-21,114280.83,23371.22,13,-714.77
2023-06-22,115027.23,23371.22,13,-714.77
2023-06-23,113931.96,23371.22,13,-714.77
2023-06-26,112258.79,23371.22,13,-714.77
2023-06-27,114526.81,23371.22,13,-714.77
2023-06-28,115028.38,23915.75,13,-1214.57
2023-06-29,114904.67,23915.75,13,-1214.57
2023-06-30,116665.4,23915.75,13,-1214.57
2023-07-03,116909.72,23915.75,13,-1214.57
2023-07-05,117298.2,23915.75,13,-1214.57
2023-07-06,116340.95,31951.25,12,-1281.23
2023-07-07,116866.62,31951.25,12,-1281.23
2023-07-10,118110.68,31951.25,12,-1281.23
2023-07-11,118368.9,31951.25,12,-1281.23
2023-07-12,120120.7,31951.25,12,-1281.23
2023-07-13,121666.86,32801.49,12,-707.87
2023-07-14,121789.43,32801.49,12,-707.87
2023-07-17,123309.7,32801.49,12,-707.87
2023-07-18,124997.34,32801.49,12,-707.87
2023-07-19,125101.45,46593.45,11,6188.11
2023-07-20,129881.8,45555.85,13,6188.11
2023-07-21,128919.64,45555.85,13,6188.11
2023-07-24,128632.24,45555.85,13,6188.11
2023-07-25,129796.55,45555.85,13,6188.11
2023-07-26,129070.04,45555.85,13,6188.11
2023-07-27,129336.04,39160.33,14,6188.11
2023-07-28,131340.53,39160.33,14,6188.11
2023-07-31,132178.5,39160.33,14,6188.11
2023-08-01,132628.14,39160.33,14,6188.11
2023-08-02,130053.92,39160.33,14,6188.11
2023-08-03,130398.13,39160.33,14,6188.11
2023-08-04,131407.24,39160.33,14,6188.11
2023-08-07,132511.59,39160.33,14,6188.11
2023-08-08,132087.69,39160.33,14,6188.11
2023-08-09,128395.83,39160.33,14,6188.11
2023-08-10,135398.71,43968.98,15,5318.31
2023-08-11,134138.83,43968.98,15,5318.31
2023-08-14,135335.23,49945.22,14,4006.47
2023-08-15,134947.29,49945.22,14,4006.47
2023-08-16,134321.05,49945.22,14,4006.47
2023-08-17,126652.43,42450.68,13,3542.95
2023-08-18,126889.24,42450.68,13,3542.95
2023-08-21,128980.55,42450.68,13,3542.95
2023-08-22,128462.66,42450.68,13,3542.95
2023-08-23,129889.0,42450.68,13,3542.95
2023-08-24,128632.16,56346.68,11,5440.05
2023-08-25,128566.34,56346.68,11,5440.05
2023-08-28,128848.25,56346.68,11,5440.05
2023-08-29,129946.81,56346.68,11,5440.05
2023-08-30,130817.94,56346.68,11,5440.05
