date,portfolio_value,cash,positions,total_pnl
2021-01-04,100000.0,100000.0,0,0.0
2021-01-05,100000.0,100000.0,0,0.0
2021-01-06,100000.0,100000.0,0,0.0
2021-01-07,100000.0,100000.0,0,0.0
2021-01-08,100000.0,100000.0,0,0.0
2021-01-11,100250.93,80184.41,3,0.0
2021-01-12,100204.98,80184.41,3,0.0
2021-01-13,100220.66,80184.41,3,0.0
2021-01-14,100468.62,80184.41,3,0.0
2021-01-15,100188.29,80184.41,3,0.0
2021-01-19,105114.46,65455.57,7,0.0
2021-01-20,105329.91,65455.57,7,0.0
2021-01-21,105738.09,65455.57,7,0.0
2021-01-22,105658.91,65455.57,7,0.0
2021-01-25,105863.06,65455.57,7,0.0
2021-01-26,108788.43,46847.82,12,0.0
2021-01-27,106023.26,51776.04,11,-1081.08
2021-01-28,107365.47,51776.04,11,-1081.08
2021-01-29,106975.79,51776.04,11,-1081.08
2021-02-01,107779.59,51776.04,11,-1081.08
2021-02-02,108046.42,41031.57,13,-1081.08
2021-02-03,107704.42,41031.57,13,-1081.08
2021-02-04,108293.68,41031.57,13,-1081.08
2021-02-05,108645.7,41031.57,13,-1081.08
2021-02-08,110070.0,41031.57,13,-1081.08
2021-02-09,110181.85,34484.88,14,-1081.08
2021-02-10,109925.84,34484.88,14,-1081.08
2021-02-11,110494.09,34484.88,14,-1081.08
2021-02-12,110615.57,34484.88,14,-1081.08
2021-02-16,110043.91,37993.98,13,-1850.94
2021-02-17,109225.07,33242.28,14,-1850.94
2021-02-18,108886.44,33242.28,14,-1850.94
2021-02-19,109204.7,33242.28,14,-1850.94
2021-02-22,107841.52,33242.28,14,-1850.94
2021-02-23,107495.22,33242.28,14,-1850.94
2021-02-24,108670.34,33242.28,14,-1850.94
2021-02-25,106752.5,33242.28,14,-1850.94
2021-02-26,107639.61,33242.28,14,-1850.94
2021-03-01,109153.23,33242.28,14,-1850.94
2021-03-02,108318.04,33242.28,14,-1850.94
2021-03-03,102407.66,22852.21,14,-2208.52
2021-03-04,100351.18,22852.21,14,-2208.52
2021-03-05,101851.97,22852.21,14,-2208.52
2021-03-08,100262.7,22852.21,14,-2208.52
2021-03-09,102129.78,22852.21,14,-2208.52
2021-03-10,97899.36,18554.41,13,-2285.37
2021-03-11,99472.18,18554.41,13,-2285.37
2021-03-12,99653.02,18554.41,13,-2285.37
2021-03-15,99699.54,18554.41,13,-2285.37
2021-03-16,99583.05,18554.41,13,-2285.37
2021-03-17,99531.62,20340.13,13,-3154.17
2021-03-18,97723.75,20340.13,13,-3154.17
2021-03-19,97920.95,20340.13,13,-3154.17
2021-03-22,98684.34,20340.13,13,-3154.17
2021-03-23,97281.02,20340.13,13,-3154.17
2021-03-24,96133.28,20340.13,13,-3154.17
2021-03-25,96624.02,20340.13,13,-3154.17
