date,portfolio_value,cash,positions,total_pnl
2021-01-04,100000.0,100000.0,0,0.0
2021-01-05,100000.0,100000.0,0,0.0
2021-01-06,100000.0,100000.0,0,0.0
2021-01-07,100000.0,100000.0,0,0.0
2021-01-08,100000.0,100000.0,0,0.0
2021-01-11,99871.06,77380.18,4,0.0
2021-01-12,99937.43,77380.18,4,0.0
2021-01-13,99834.37,77380.18,4,0.0
2021-01-14,100217.39,77380.18,4,0.0
2021-01-15,99603.69,77380.18,4,0.0
2021-01-19,100802.51,55735.85,8,0.0
2021-01-20,100841.83,55735.85,8,0.0
2021-01-21,101185.51,55735.85,8,0.0
2021-01-22,100966.31,55735.85,8,0.0
2021-01-25,100624.33,55735.85,8,0.0
2021-01-26,99289.15,25797.73,13,0.0
2021-01-27,96112.08,30676.17,12,-1070.16
2021-01-28,98105.77,30676.17,12,-1070.16
2021-01-29,96602.43,30676.17,12,-1070.16
2021-02-01,97970.39,30676.17,12,-1070.16
2021-02-02,98851.67,20910.57,14,-1070.16
2021-02-03,98707.59,20910.57,14,-1070.16
2021-02-04,99889.11,20910.57,14,-1070.16
2021-02-05,100179.51,20910.57,14,-1070.16
2021-02-08,101841.61,20910.57,14,-1070.16
2021-02-09,102238.12,20910.57,14,-1070.16
2021-02-10,101914.79,20910.57,14,-1070.16
2021-02-11,102079.99,20910.57,14,-1070.16
2021-02-12,102286.04,20910.57,14,-1070.16
2021-02-16,101428.85,24920.97,13,-1950.0
2021-02-17,100794.06,24914.65,13,-1929.6
2021-02-18,100167.91,24914.65,13,-1929.6
2021-02-19,101149.19,24914.65,13,-1929.6
2021-02-22,100074.19,29676.89,12,-2974.84
2021-02-23,100195.23,29676.89,12,-2974.84
2021-02-24,101305.53,23702.92,13,-3051.66
2021-02-25,99418.87,23702.92,13,-3051.66
2021-02-26,99491.8,23702.92,13,-3051.66
2021-03-01,101697.17,23702.92,13,-3051.66
2021-03-02,101270.54,23702.92,13,-3051.66
2021-03-03,99724.14,23272.84,13,-3287.58
2021-03-04,97424.09,28112.04,12,-4349.95
2021-03-05,99000.07,28112.04,12,-4349.95
2021-03-08,98862.16,28112.04,12,-4349.95
2021-03-09,99233.58,28112.04,12,-4349.95
2021-03-10,99800.04,22108.61,13,-4374.7
2021-03-11,101039.24,22108.61,13,-4374.7
2021-03-12,101881.4,22108.61,13,-4374.7
2021-03-15,101314.22,22108.61,13,-4374.7
2021-03-16,100509.42,22108.61,13,-4374.7
2021-03-17,101342.42,20848.01,13,-4668.46
2021-03-18,99709.43,20848.01,13,-4668.46
2021-03-19,99341.15,20848.01,13,-4668.46
2021-03-22,99318.53,20848.01,13,-4668.46
2021-03-23,97246.22,20848.01,13,-4668.46
2021-03-24,96942.4,20454.05,13,-5098.76
2021-03-25,97995.74,20454.05,13,-5098.76
