date,portfolio_value,cash,positions,total_pnl
2021-01-04,100000.0,100000.0,0,0.0
2021-01-05,100000.0,100000.0,0,0.0
2021-01-06,100000.0,100000.0,0,0.0
2021-01-07,100000.0,100000.0,0,0.0
2021-01-08,100000.0,100000.0,0,0.0
2021-01-11,100078.43,78167.49,3,0.0
2021-01-12,100274.64,78167.49,3,0.0
2021-01-13,100202.16,78167.49,3,0.0
2021-01-14,100234.66,78167.49,3,0.0
2021-01-15,99225.77,78167.49,3,0.0
2021-01-19,100344.58,57535.2,6,0.0
2021-01-20,100336.59,57535.2,6,0.0
2021-01-21,101214.06,57535.2,6,0.0
2021-01-22,100838.89,57535.2,6,0.0
2021-01-25,100005.61,57535.2,6,0.0
2021-01-26,98069.43,33020.92,10,0.0
2021-01-27,95026.68,33020.92,10,0.0
2021-01-28,97758.23,33020.92,10,0.0
2021-01-29,97719.05,33020.92,10,0.0
2021-02-01,99324.99,33020.92,10,0.0
2021-02-02,99816.63,23102.62,12,0.0
2021-02-03,100194.02,23102.62,12,0.0
2021-02-04,101122.03,23102.62,12,0.0
2021-02-05,101185.68,23102.62,12,0.0
2021-02-08,103128.22,23102.62,12,0.0
2021-02-09,103512.0,25477.06,12,-362.52
2021-02-10,103137.04,25477.06,12,-362.52
2021-02-11,103606.37,25477.06,12,-362.52
2021-02-12,103845.59,25477.06,12,-362.52
2021-02-16,103824.99,25477.06,12,-362.52
2021-02-17,102975.01,30508.06,11,-476.14
2021-02-18,102383.51,34226.68,10,-1715.68
2021-02-19,104033.16,34226.68,10,-1715.68
2021-02-22,102753.25,34226.68,10,-1715.68
2021-02-23,102109.67,34226.68,10,-1715.68
2021-02-24,102997.61,34301.91,10,-2688.48
2021-02-25,100115.83,34301.91,10,-2688.48
2021-02-26,100272.66,34301.91,10,-2688.48
2021-03-01,102246.4,34301.91,10,-2688.48
2021-03-02,101590.74,34301.91,10,-2688.48
2021-03-03,100028.59,32924.87,10,-3105.72
2021-03-04,97425.93,32924.87,10,-3105.72
2021-03-05,98550.32,37350.99,9,-4581.17
2021-03-08,97274.37,37350.99,9,-4581.17
2021-03-09,98334.71,37350.99,9,-4581.17
2021-03-10,98894.05,46321.83,8,-5592.62
2021-03-11,100339.23,46321.83,8,-5592.62
2021-03-12,100668.47,46321.83,8,-5592.62
2021-03-15,100584.12,46321.83,8,-5592.62
2021-03-16,99772.46,46321.83,8,-5592.62
2021-03-17,101032.38,32472.96,10,-5592.62
2021-03-18,99611.23,32472.96,10,-5592.62
2021-03-19,99853.46,32472.96,10,-5592.62
2021-03-22,99287.26,32472.96,10,-5592.62
2021-03-23,96855.37,32472.96,10,-5592.62
2021-03-24,100551.72,36724.56,11,-5230.02
2021-03-25,101230.53,36724.56,11,-5230.02
2021-03-26,102853.45,36724.56,11,-5230.02
