date,portfolio_value,cash,positions,total_pnl
2025-07-01,100000.0,100000.0,0,0.0
2025-07-02,100000.0,100000.0,0,0.0
2025-07-03,100134.37,77728.46,3,0.0
2025-07-07,99409.49,77728.46,3,0.0
2025-07-08,104216.01,67883.68,6,0.0
2025-07-09,104649.53,67883.68,6,0.0
2025-07-10,105029.32,43424.68,10,0.0
2025-07-11,104994.12,43424.68,10,0.0
2025-07-14,105043.71,37349.14,11,0.0
2025-07-15,106258.79,37349.14,11,0.0
2025-07-16,106811.21,30979.14,12,0.0
2025-07-17,107809.72,30979.14,12,0.0
2025-07-18,107733.6,30979.14,12,0.0
2025-07-21,108302.27,30979.14,12,0.0
2025-07-22,112316.98,36339.8,13,0.0
2025-07-23,113113.23,36339.8,13,0.0
2025-07-24,114131.49,36339.8,13,0.0
2025-07-25,114726.79,36339.8,13,0.0
2025-07-28,115994.21,36712.1,13,-168.98
2025-07-29,116322.8,45812.1,12,1733.7
2025-07-30,116435.41,45812.1,12,1733.7
2025-07-31,115693.79,45812.1,12,1733.7
2025-08-01,113818.26,40246.66,13,1733.7
2025-08-04,115548.49,40246.66,13,1733.7
2025-08-05,119905.69,39564.9,15,1733.7
2025-08-06,120453.05,39564.9,15,1733.7
2025-08-07,120662.56,46507.02,14,789.69
2025-08-08,120973.68,46507.02,14,789.69
2025-08-11,120809.75,46507.02,14,789.69
2025-08-12,121600.61,46507.02,14,789.69
2025-08-13,114831.77,32562.87,14,356.79
2025-08-14,115452.9,32562.87,14,356.79
2025-08-15,108108.66,25480.73,13,-28.15
2025-08-18,102648.61,19552.73,12,-595.49
2025-08-19,100596.37,25966.39,11,-411.35
2025-08-20,99296.42,31186.39,10,-1708.07
2025-08-21,99096.02,38526.32,9,-2237.11
2025-08-22,100147.58,38526.32,9,-2237.11
2025-08-25,99930.35,26620.15,11,-2237.11
2025-08-26,100346.68,26620.15,11,-2237.11
2025-08-27,100412.31,20786.07,12,-2237.11
2025-08-28,100956.44,20786.07,12,-2237.11
2025-08-29,100124.6,20786.07,12,-2237.11
2025-09-02,99653.33,20786.07,12,-2237.11
2025-09-03,99637.27,31395.59,11,-261.47
2025-09-04,100900.48,31395.59,11,-261.47
2025-09-05,105645.82,37611.22,12,1209.43
2025-09-08,105668.9,37611.22,12,1209.43
2025-09-09,105931.55,45158.13,11,1084.8
2025-09-10,105887.67,45158.13,11,1084.8
2025-09-11,107514.43,54408.93,10,2605.75
2025-09-12,107302.37,54408.93,10,2605.75
2025-09-15,112924.38,54394.05,12,2605.75
2025-09-16,112956.11,54394.05,12,2605.75
2025-09-17,112800.92,50028.72,12,2584.56
2025-09-18,113247.16,50028.72,12,2584.56
2025-09-19,113213.8,43312.72,13,2584.56
2025-09-22,113038.57,43312.72,13,2584.56
2025-09-23,112984.97,35685.38,14,2416.92
2025-09-24,111297.06,39979.38,13,1438.34
2025-09-25,110799.24,45925.05,12,1308.47
2025-09-26,110863.94,45925.05,12,1308.47
2025-09-29,111051.93,45925.05,12,1308.47
2025-09-30,111612.25,45925.05,12,1308.47
2025-10-01,112495.26,40368.97,13,1618.5
2025-10-02,112473.5,46658.97,12,2562.68
2025-10-03,108845.62,26500.59,13,2604.02
2025-10-06,109647.72,26500.59,13,2604.02
2025-10-07,108737.71,33235.02,12,1950.77
2025-10-08,109898.31,33235.02,12,1950.77
2025-10-09,109787.94,33235.02,12,1950.77
2025-10-10,107818.7,33235.02,12,1950.77
2025-10-13,115161.12,38615.98,13,1950.77
2025-10-14,114196.31,38615.98,13,1950.77
2025-10-15,114916.08,38615.98,13,1950.77
2025-10-16,115031.01,38615.98,13,1950.77
2025-10-17,120242.14,53021.37,13,1011.6
2025-10-20,121040.81,53021.37,13,1011.6
2025-10-21,120366.96,45815.92,14,1011.6
2025-10-22,120926.05,53235.92,13,2170.38
2025-10-23,122529.44,44653.03,14,1824.06
2025-10-24,123955.3,44653.03,14,1824.06
2025-10-27,124509.08,36455.38,15,1824.06
2025-10-28,124407.2,36455.38,15,1824.06
2025-10-29,125325.01,54800.38,13,4923.41
2025-10-30,125358.55,54800.38,13,4923.41
2025-10-31,125301.31,41576.55,15,4923.41
2025-11-03,126069.07,48536.55,14,6001.89
2025-11-04,124178.1,40025.38,15,5747.74
2025-11-05,125597.56,40025.38,15,5747.74
2025-11-06,125043.46,39763.43,15,5724.86
2025-11-07,124711.52,39763.43,15,5724.86
2025-11-10,121565.74,27503.87,15,5771.72
2025-11-11,121251.6,27503.87,15,5771.72
2025-11-12,121776.46,34967.21,14,6557.87
2025-11-13,119921.4,34967.21,14,6557.87
2025-11-14,119975.27,42022.21,13,6896.87
2025-11-17,119686.41,42022.21,13,6896.87
2025-11-18,119006.9,36303.36,14,6980.07
2025-11-19,119397.55,36303.36,14,6980.07
2025-11-20,117627.38,36303.36,14,6980.07
2025-11-21,118343.82,36303.36,14,6980.07
2025-11-24,120276.98,43386.66,13,6788.47
2025-11-25,120959.05,60936.66,11,9233.87
2025-11-26,120647.98,45441.34,13,9233.87
2025-11-28,120619.94,45441.34,13,9233.87
2025-12-01,114243.46,45749.48,11,8027.22
2025-12-02,113544.43,45749.48,11,8027.22
2025-12-03,113652.01,47618.33,11,7851.78
2025-12-04,113289.73,47618.33,11,7851.78
2025-12-05,113994.43,54098.33,10,7245.9
2025-12-08,113985.61,54098.33,10,7245.9
2025-12-09,108437.46,55860.68,8,6169.51
2025-12-10,109554.36,55860.68,8,6169.51
2025-12-11,110023.2,49843.6,9,6001.15
2025-12-12,108284.55,49843.6,9,6001.15
2025-12-15,108034.77,56938.6,8,6886.87
2025-12-16,107807.11,56938.6,8,6886.87
2025-12-17,112512.93,56863.89,10,7007.92
2025-12-18,113339.28,56863.89,10,7007.92
2025-12-19,114207.7,71216.85,8,7481.86
2025-12-22,114414.68,71216.85,8,7481.86
2025-12-23,114137.99,78680.37,7,7410.58
2025-12-24,114329.31,78680.37,7,7410.58
2025-12-26,114435.91,78680.37,7,7410.58
2025-12-29,114246.19,78680.37,7,7410.58
2025-12-30,113957.02,55765.3,10,7410.58
