date,portfolio_value,cash,positions,total_pnl
2025-04-01,100000.0,100000.0,0,0.0
2025-04-02,100000.0,100000.0,0,0.0
2025-04-03,105768.22,83184.87,4,0.0
2025-04-04,104928.5,90353.87,3,-781.89
2025-04-07,111115.35,81205.68,6,-781.89
2025-04-08,110956.7,81205.68,6,-781.89
2025-04-09,123091.72,82668.08,10,-781.89
2025-04-10,124445.93,91548.08,9,250.11
2025-04-11,125046.36,91548.08,9,250.11
2025-04-14,125454.81,91548.08,9,250.11
2025-04-15,125428.03,84064.41,10,250.11
2025-04-16,125651.51,84064.41,10,250.11
2025-04-17,134118.43,84070.1,12,-560.61
2025-04-21,133541.02,84070.1,12,-560.61
2025-04-22,134778.31,75731.7,13,-573.21
2025-04-23,133679.17,75731.7,13,-573.21
2025-04-24,127151.5,55530.23,14,-1024.38
2025-04-25,127083.14,55530.23,14,-1024.38
2025-04-28,127351.79,55530.23,14,-1024.38
2025-04-29,127709.91,55530.23,14,-1024.38
2025-04-30,127983.55,49520.57,15,-1279.18
2025-05-01,126825.65,49520.57,15,-1279.18
2025-05-02,126922.56,56321.39,14,-405.82
2025-05-05,127646.93,56321.39,14,-405.82
2025-05-06,121134.64,49879.79,13,-997.32
2025-05-07,120877.4,49879.79,13,-997.32
2025-05-08,119126.8,53681.43,12,-2623.55
2025-05-09,119409.37,53681.43,12,-2623.55
2025-05-12,113111.73,58221.36,10,-607.43
2025-05-13,106419.45,52021.36,9,1013.77
2025-05-14,99449.08,44884.4,8,-304.0
2025-05-15,100133.78,44884.4,8,-304.0
2025-05-16,100784.05,44884.4,8,-304.0
2025-05-19,100973.56,44884.4,8,-304.0
2025-05-20,100801.68,44884.4,8,-304.0
2025-05-21,99919.13,44884.4,8,-304.0
2025-05-22,99459.29,44884.4,8,-304.0
2025-05-23,99618.39,44884.4,8,-304.0
2025-05-27,100478.44,44884.4,8,-304.0
2025-05-28,100270.09,44884.4,8,-304.0
2025-05-29,100180.9,44884.4,8,-304.0
2025-05-30,100910.11,44884.4,8,-304.0
2025-06-02,101173.21,44884.4,8,-304.0
2025-06-03,102003.31,54064.4,7,1004.96
2025-06-04,101608.32,34063.26,10,864.89
2025-06-05,101605.69,34063.26,10,864.89
2025-06-06,101955.79,26386.79,11,792.47
2025-06-09,101903.8,26386.79,11,792.47
2025-06-10,102050.1,25985.2,11,1007.35
2025-06-11,102324.8,25985.2,11,1007.35
2025-06-12,102575.4,21491.82,12,465.51
2025-06-13,101585.64,21491.82,12,465.51
2025-06-16,102773.33,21491.82,12,465.51
2025-06-17,102266.82,21491.82,12,465.51
2025-06-18,101890.43,21491.82,12,465.51
2025-06-20,101189.63,21491.82,12,465.51
2025-06-23,101719.16,23192.86,12,30.81
2025-06-24,103109.09,23192.86,12,30.81
2025-06-25,103349.5,24927.07,12,334.19
2025-06-26,103940.92,24927.07,12,334.19
2025-06-27,104420.17,30911.06,11,897.77
