date,portfolio_value,cash,positions,total_pnl
2025-07-01,100000.0,100000.0,0,0.0
2025-07-02,100000.0,100000.0,0,0.0
2025-07-03,100278.86,67317.71,4,0.0
2025-07-07,99508.44,67317.71,4,0.0
2025-07-08,104111.76,58448.81,7,0.0
2025-07-09,104611.9,58448.81,7,0.0
2025-07-10,110274.15,45626.24,11,0.0
2025-07-11,110240.5,45626.24,11,0.0
2025-07-14,105321.3,28559.33,12,27.69
2025-07-15,106244.07,28559.33,12,27.69
2025-07-16,106722.79,28559.33,12,27.69
2025-07-17,107644.2,28559.33,12,27.69
2025-07-18,107326.49,22134.03,13,27.69
2025-07-21,107909.01,22134.03,13,27.69
2025-07-22,106734.93,22134.03,13,27.69
2025-07-23,107895.3,22134.03,13,27.69
2025-07-24,108446.07,22134.03,13,27.69
2025-07-25,109364.09,22134.03,13,27.69
2025-07-28,104645.22,30178.79,10,269.42
2025-07-29,104603.52,30178.79,10,269.42
2025-07-30,105219.15,28840.77,10,0.38
2025-07-31,104400.77,28840.77,10,0.38
2025-08-01,102245.86,25074.23,11,366.32
2025-08-04,104017.54,25074.23,11,366.32
2025-08-05,102981.61,24763.99,11,383.9
2025-08-06,102895.51,24763.99,11,383.9
2025-08-07,103657.26,30889.39,10,-449.05
2025-08-08,104077.27,30889.39,10,-449.05
2025-08-11,109087.31,44283.39,10,-169.23
2025-08-12,109905.57,44283.39,10,-169.23
2025-08-13,114750.22,52960.6,11,1480.7
2025-08-14,115096.33,52960.6,11,1480.7
2025-08-15,114127.19,44995.72,12,1480.7
2025-08-18,114029.2,44995.72,12,1480.7
2025-08-19,106432.49,37541.33,11,803.59
2025-08-20,105649.98,37541.33,11,803.59
2025-08-21,99996.48,33586.57,10,265.61
2025-08-22,101235.3,33586.57,10,265.61
2025-08-25,105868.1,47431.34,10,1507.98
2025-08-26,105987.48,47431.34,10,1507.98
2025-08-27,105664.68,44263.09,11,1312.45
2025-08-28,106562.43,44263.09,11,1312.45
2025-08-29,106722.48,38358.29,12,1312.45
2025-09-02,106470.67,38358.29,12,1312.45
2025-09-03,106911.33,32343.29,13,1312.45
2025-09-04,107997.43,32343.29,13,1312.45
2025-09-05,108437.06,32343.29,13,1312.45
2025-09-08,108571.59,32343.29,13,1312.45
2025-09-09,108686.36,32343.29,13,1312.45
2025-09-10,108096.93,32343.29,13,1312.45
2025-09-11,109461.56,37392.85,12,982.21
2025-09-12,109346.53,37392.85,12,982.21
2025-09-15,110180.72,43238.69,11,571.41
2025-09-16,110253.66,43238.69,11,571.41
2025-09-17,110173.08,46714.52,10,214.97
2025-09-18,110874.64,46714.52,10,214.97
2025-09-19,111181.22,33144.38,12,214.97
2025-09-22,110947.46,33144.38,12,214.97
2025-09-23,116022.96,38644.82,13,214.97
2025-09-24,114261.79,38644.82,13,214.97
2025-09-25,113305.66,38030.84,13,-146.43
2025-09-26,113317.02,38030.84,13,-146.43
2025-09-29,113537.05,36562.04,13,-1461.15
